,中文名,景点排名,攻略数量,评论数量,旅游率,景区介绍,评分,地址,开放时间,门票,价格
197,峰碨岽,0%,0,0,0%,,--,开发区双鱼岛.海梦湾景区,,具体收费情况以现场公示为主,
198,玉江农场,0%,0,0,0%,,0.0,紫云公园,,具体收费情况以现场公示为主,
199,华商酒店,0%,0,1,0%,,5.0,福建省南靖县书洋镇曲江圩河坑自然村,具体开放时间请咨询景区,首道大门票收费情况请咨询景区,
200,墩柄村,0%,0,0,0%,,4.0,福建省漳州市长泰县,,,
201,墩柄戏台,0%,0,0,0%,,0.0,福建省漳州市漳浦县沙西镇涂楼村,,,
202,保林寺,0%,0,0,0%,,0.0,漳州市云霄县,,,
203,姜公祠,0%,0,2,0%,,4.3,招商局漳州开发区,,具体收费情况以现场公示为主,
204,漳州台商投资区角美镇白礁,0%,0,0,0%,,--,福建省漳州市龙海市S1525(程溪中桥),,,
205,菜屿列岛,0%,0,0,0%,,5.0,福建省漳州市龙海区便民路,全年 全天开放,具体收费情况以现场公示为主,
206,莱屿列岛,0%,0,3,0%,,5.0,漳州市漳浦县六鳌镇,全年 全天开放,具体收费情况以现场公示为主,
207,东山前何威惠庙,0%,0,0,0%,,--,白糖村,,具体收费情况以现场公示为主,
208,漳州江东良种场,0%,0,0,0%,,--,三二四国道与漳夏高速之间,,具体收费情况以现场公示为主,
209,官厅兰蒲,0%,0,2,0%,,4.8,漳州市龙海区成功大道附近,,,
210,埭美古民居群,0%,0,0,0%,,5.0,漳州市龙海市九湖镇,,具体收费情况以现场公示为主,
211,普照禅寺,0%,0,6,0%,,5.0,漳州市东山县铜陵镇兆丰商城6号楼D219,,58元,55
212,土楼博物馆,0%,0,0,0%,,--,福建省龙岩市上杭县紫金南路文庙后侧,,免费,
213,双鱼岛海梦湾度假营地,0%,0,1,0%,,4.0,漳州市龙文区云洞岩景区内,室外展区常年开放，室内展区布展陈列中,免费,
214,紫云巌寺,0%,0,0,0%,,--,云霄县将军山文化中心,9:00-12:00 3:00-5：00,免费,
215,河坑土楼群观景台,0%,0,0,0%,,0.0,诏安县南诏镇城内街中街4号（县文昌宫内）,每周二至周日 上午：09:00-11:30 下午：14:30-17:30（周一闭馆）,免费,
216,马洋溪生态旅游区,0%,0,0,0%,,--,漳浦县绥安镇西湖公园内,上午8:00-12:00，下午14:30-17:30,免费,
217,海月岩,0%,0,0,0%,,--,平和县小溪镇中山公园2号,"全年 周二-周日 8:30-12:00,14:30-17:30",免费,
218,漳江口红树林国家级自然保护区,0%,0,0,0%,,--,华安县城关大同路58号文化中心二楼,,免费,
219,九且山庄,0%,0,1,0%,,5.0,漳州市龙海市黄金海岸科普馆1层,周一-周日：9:30-17:30，17:30停止入场,35元,38
220,静湖公园,0%,0,0,0%,,--,漳州市南靖县书洋镇田中村后田111号,全年 全天开放,具体收费情况以现场公示为主,
221,程溪,0%,0,0,0%,,0.0,漳州市龙文区建元东路2号碧湖万达广场妈妈集市4楼,周一-周日：10:00-22:00,具体收费情况以现场公示为主,
222,南太武山,0%,0,0,0%,,--,漳江出海口处的海滩,全年 全天开放,具体收费情况以现场公示为主,
223,六鳌半岛,0%,0,0,0%,,--,仙都镇大地村,全年 8:30-17:30,具体收费情况以现场公示为主,
224,滨海古火山口,0%,0,0,0%,,--,福建省华安县良村乡,全年 全天开放,具体收费情况以现场公示为主,
225,龙佳野生动物园,0%,0,4,0%,,4.5,漳州市东山县铜陵镇马鞍屿,,具体收费情况以现场公示为主,
226,漳州港,0%,0,0,0%,,5.0,福建省漳州市芗城区振成巷,全年 09:00-17:00,具体收费情况以现场公示为主,
227,荔枝海公园,0%,0,0,0%,,--,漳州市-漳浦县-佛昙镇后许村境内,,,
228,东山岛梦幻星空馆,0%,0,0,0%,,--,漳州市-漳浦县,,,
229,龙海市博物馆,0%,0,0,0%,,--,漳州市-漳浦县-佛昙镇后许村1号,,,
230,上杭县客家族谱博物馆,0%,0,0,0%,,--,漳州市-龙海市-G324(福昆线),,,
231,漳州市龙文区博物馆,0%,0,1,0%,,--,漳州市-长泰县-马洋溪生态旅游区后坊村鲤鱼山,,具体收费情况以现场公示为主,
232,云霄县博物馆,0%,0,0,0%,,--,漳州市-诏安县-553县道,,,
233,诏安县博物馆,0%,0,0,0%,,--,漳州市-云霄县-将军大道,,,
234,漳浦县博物馆,0%,0,0,0%,,--,漳州市-东山县,,,
235,平和县博物馆,0%,0,0,0%,,--,漳州市-东山县-X544(海港路,,,
236,华安县博物馆,0%,0,0,0%,,--,漳州市-漳浦县-陆发水产合作社,,,
237,海错馆,0%,0,0,0%,,--,漳州市-东山县,,具体收费情况以现场公示为主,
238,龙昌土楼,0%,0,0,0%,,--,福建省漳州市漳浦县,,具体收费情况以现场公示为主,
239,时德楼,0%,0,1,0%,,4.0,漳州市-漳浦县-湖内,,,
240,漳州星空失恋博物馆（万达旗舰店）,0%,0,1,0%,,--,漳州市-漳浦县-马坪镇仙都村福康炉内,,,
241,漳州海底森林,0%,0,0,0%,,4.7,漳州市云霄县常山华侨经济开发区天窗坪,,具体收费情况以现场公示为主,
242,华安土楼博物馆,0%,0,0,0%,,--,漳州市-长泰县-珠坂村,,,
243,南山宫,0%,0,0,0%,,0.0,漳州市长泰县马洋溪锦溪路888号福建天柱山欢乐大世界内,包含于天柱山欢乐大世界景区，景点开放时间详见景区现场公示。,具体收费情况以现场公示为主,
244,马鞍屿,0%,0,0,0%,,0.0,漳州市芗城区漳响路108号,全年 全天开放,具体收费情况以现场公示为主,
245,漳州林氏宗祠,0%,0,0,0%,,--,鑫荣美食街,,具体收费情况以现场公示为主,
246,意达水产育苗场,0%,0,0,0%,,,,,,
247,后许林场,0%,0,0,0%,,--,丹霞路,,具体收费情况以现场公示为主,
248,牧海水产育苗场,0%,0,0,0%,,--,福建省龙海市九龙大道,,具体收费情况以现场公示为主,
249,福茂育苗场,0%,0,0,0%,,--,福建省龙海市近民主街,,,
250,乐程园艺,0%,0,0,0%,,--,东厦镇,,具体收费情况以现场公示为主,
251,中国龙人古琴文化村,0%,0,0,0%,,--,福建省龙海市角美镇,,具体收费情况以现场公示为主,
252,诏安五台山碧山寺,0%,0,0,0%,,--,梧浦村,全年 全天开放,具体收费情况以现场公示为主,
253,云霄下南将军庙开元寺,0%,0,8,0%,,4.6,修文西路2号附近,全年 8:00-21:00,,
254,九墓埕,0%,0,1,0%,,5.0,福建省漳州市芗城区香港路,全年 全天开放,具体收费情况以现场公示为主,
255,光传庵,0%,0,104,0%,,4.9,漳州市南靖县书洋镇田中村,8:00-18:00,80元,125
256,漳浦县陆发水产专业合作社,0%,0,3,0%,,5.0,漳州市平和县蔡家堡,,,
257,乌礁湾,0%,0,2,0%,,4.7,福建省漳州市东山县天后宫(东山风动石景区),,具体收费情况以现场公示为主,
258,孔子礁,0%,0,5,0%,,4.3,东山岛风动石景区,,具体收费情况以现场公示为主,
259,坂仔林果场,0%,0,1,0%,,4.0,福建省漳州市东山县东山风动石景区,,,
260,漳浦县森森农场,0%,0,3,0%,,4.9,西桥街道南江滨路（南山禅寺西北侧）,,,
261,漳浦县荣聚家庭农场,0%,0,2,0%,,4.3,龙江中路与九龙江交叉处,,,
262,天窗坪仙境山庄,0%,0,5,0%,,4.9,钟法路与九龙江交叉口,,,
263,漳州晴天农牧业发展有限公司天竺鼠养殖基地,0%,0,3,0%,,4.8,福建省漳州市芗城区修文东路43号,全年 9:00-19:00,具体收费情况以现场公示为主,
264,观音桥,0%,0,2,0%,,3.9,漳州市平和县霞寨镇官峰村,8:30-17:30,90元,59
265,漳州牛庄文创园,0%,0,0,0%,,4.0,漳州市诏安县梅岭镇南门村,,,
266,鑫荣美食街,0%,0,4,0%,,4.3,龙海市隆教乡镇海村,,,
267,漳州科技馆,0%,0,0,0%,,0.0,福建省漳州市南靖县梅林镇璞山村,,具体收费情况以现场公示为主,
268,天下美食街,0%,0,0,0%,,3.0,龙文区九龙江北溪下游,,具体收费情况以现场公示为主,
269,奇石古玩精品街,0%,0,2,0%,,4.0,铜陵镇公园街234号东山风动石景区内,具体开放时间请咨询景区,,
270,少华奇石苑,0%,0,1,0%,,4.0,漳州市东山岛东北部铜陵镇,,,
271,和平步行街,0%,0,13,0%,,4.7,漳州市南靖县云水谣景区坎下村钟兴楼,"8:00-21:00,21:00停止入场",,
272,漳州红树林保护区,0%,0,0,0%,,4.0,漳州市龙海区南滨大道,,,
273,九龙江口红树林湿地,0%,0,0,0%,,--,福建省漳浦县下布乡村,,具体收费情况以现场公示为主,
274,瑞竹岩寺,0%,0,0,0%,,4.0,福建省漳浦县绥安镇,,具体收费情况以现场公示为主,
275,漳州文庙,0%,0,2,0%,,4.0,塔下村,,具体收费情况以现场公示为主,
276,伽蓝庙,0%,0,0,0%,,--,上版村田寮坑155-2号,,具体收费情况以现场公示为主,
277,田中赋土楼群,0%,0,6,0%,,4.8,巷口街道胜利西路与新华北路交口西北60米（漳州大酒店旁）,,具体收费情况以现场公示为主,
278,蔡家堡,0%,0,0,0%,,--,公园西路,,具体收费情况以现场公示为主,
279,林语堂文学馆,0%,0,1,0%,,2.5,漳州市长泰县岩溪镇甘寨村河空水库,8:30-18:00,30元,98
280,天后宫,0%,0,0,0%,,4.7,福建省漳州市龙海区,,,
281,南溟书院,0%,0,0,0%,,,,,,
282,明德宫,0%,0,3,0%,,4.4,漳州市龙海双第华侨农场洲仔管区洲仔村269号,11月1日-次年4月30日9:00-17:00；5月1日-10月31日9:00-18:00。,20元,38
283,南山文化生态园,0%,0,1,0%,,4.8,水仙大街月光沙滩,全年 全天开放,具体收费情况以现场公示为主,
284,九龙江大桥,0%,0,1,0%,,5.0,洪岱路与324国道交叉口北100米,,具体收费情况以现场公示为主,
285,南山桥,0%,0,5,0%,,4.0,漳州市东山县西埔镇苏峰山路,,具体收费情况以现场公示为主,
286,片仔癀博物馆(古城馆),0%,0,0,0%,,--,漳州州龙海市角美镇杨厝村,全年 9:00-19:00,具体收费情况以现场公示为主,
287,高峰谷,0%,0,1,0%,,5.0,漳州市龙海市G15(头社角西侧),全年 6:30-22:00,具体收费情况以现场公示为主,
288,望洋台,0%,0,1,0%,,5.0,福建省漳州市南靖县和溪乡乐土村363600号,全年 全天开放,具体收费情况以现场公示为主,
289,山河古村,0%,0,0,0%,,--,西侧,全年 全天开放,具体收费情况以现场公示为主,
290,明代古城镇海卫,0%,0,3,0%,,4.3,福建省漳浦县湖西乡,,具体收费情况以现场公示为主,
291,大榕树,0%,0,0,0%,,--,广东省饶平县黄冈镇仙春村,,具体收费情况以现场公示为主,
292,江东桥,0%,0,0,0%,,0.0,南胜镇,,具体收费情况以现场公示为主,
293,钓鳌台,0%,0,1,0%,,5.0,福建省漳州市龙海市Y117(民政路),,具体收费情况以现场公示为主,
294,东山县博物馆,0%,0,1,0%,,4.3,台湾路与香港路交叉口东50米,,具体收费情况以现场公示为主,
295,土楼之光文化园,0%,0,0,0%,,--,福建省漳州市龙海市新华路137号,,具体收费情况以现场公示为主,
296,双鱼岛,0%,0,0,0%,,--,福建省漳州市漳浦县麦市街,,具体收费情况以现场公示为主,
297,清泉岩,0%,0,0,0%,,0.0,福建省漳州市龙文区腾飞路漳州市东方育新幼儿园,,具体收费情况以现场公示为主,
298,漳浦石牌坊,0%,0,2,0%,,4.0,309省道附近,,具体收费情况以现场公示为主,
299,漳浦文庙大成殿,0%,0,0,0%,,--,古湖村附近,,,
300,裕德楼,0%,0,0,0%,,--,漳州市诏安县东路墘路与中山东路交叉路口往南约200米(南诏商场东南侧约200米),,具体收费情况以现场公示为主,
301,上观景台,0%,0,0,0%,,4.0,郭坑镇扶摇村,,,
302,胜利公园,0%,0,4,0%,,4.8,新华北路78号附近,,具体收费情况以现场公示为主,
303,南台公园,0%,0,0,0%,,--,大润发冠成国际小区内游泳池,,,
304,闽南风俗园,0%,0,0,0%,,,,,,
305,角美镇,0%,0,0,0%,,--,后坑新村路与新村路交叉口西100米,,具体收费情况以现场公示为主,
306,龙山镇,0%,0,0,0%,,--,龙山镇龙山村安居西巷21号,,具体收费情况以现场公示为主,
307,鹭凯生态庄园,0%,0,0,0%,,--,二零一省道,,具体收费情况以现场公示为主,
308,月光沙滩,0%,0,0,0%,,--,新华东路257,,,
309,海丝钟表博物馆,0%,0,0,0%,,--,电子城B1幢8号附近,,,
310,灵应宫,0%,0,0,0%,,--,漳州市漳浦县大亭路72号,,具体收费情况以现场公示为主,
311,苏峰马帝爷庙,0%,0,2,0%,,4.9,新路顶10号,,,
312,永泽堂林氏义庄,0%,0,0,0%,,--,东夏街附近,,,
313,天一总局旧址,0%,0,0,0%,,--,漳华路附近,,,
314,乐土亚热带雨林自然保护区,0%,0,0,0%,,--,319国道南靖县靖城东狱行宫管理委员会附近,,具体收费情况以现场公示为主,
315,福建云霄山,0%,0,0,0%,,--,漳州市龙海区白水镇512县道,全年 全天开放,具体收费情况以现场公示为主,
316,赵家堡与诒安堡,0%,0,0,0%,,--,南坑路2号,,,
317,闽粤分水关,0%,0,0,0%,,--,漳州市芗城区益民路信和御龙天下南侧约90米,,具体收费情况以现场公示为主,
318,南胜窑遗址,0%,0,1,0%,,4.5,古塘路41,,具体收费情况以现场公示为主,
319,龙江风格纪念馆,0%,0,0,0%,,--,福建省漳州市芗城区胜利西路与北环城路交叉处,,具体收费情况以现场公示为主,
320,海澄天后宫,0%,0,0,0%,,5.0,江滨路南50米,,,
321,漳州灯谜艺术馆,0%,0,0,0%,,--,福建省漳州市江滨路旁,,具体收费情况以现场公示为主,
322,龙海市石码大天后宫,0%,0,0,0%,,--,碧湖万达广场一号门中庭,,,
323,基督教福音堂,0%,0,0,0%,,0.0,福建省漳州市芗城区石亭镇后园村口,,具体收费情况以现场公示为主,
324,市美观音佛祖庙,0%,0,0,0%,,--,福建省漳州市平和县中山东路,,,
325,礼拜堂(坂仔卫生院西南),0%,0,0,0%,,--,福建省漳州市云霄县将军大道与人和路交汇处,,具体收费情况以现场公示为主,
326,礼拜堂(天口店),0%,0,1,0%,,4.5,新浦东路与石仓南路交叉口东北50米,,具体收费情况以现场公示为主,
327,东里庙,0%,0,0,0%,,--,福建省漳州市龙文区蓝田镇水仙大街东方广场,,,
328,扶摇关帝庙,0%,0,0,0%,,--,福建省漳州市诏安县康华西路149号附近,,,
329,天成山寺,0%,0,0,0%,,--,福建省漳州市芗城区S208,,具体收费情况以现场公示为主,
330,北门礼拜堂,0%,0,0,0%,,--,绥安镇交警大队隔壁,,具体收费情况以现场公示为主,
331,忠涵泳池服务中心(冠成国际店),0%,0,0,0%,,--,福建省漳州市漳浦县G324(福昆线),,具体收费情况以现场公示为主,
332,岩鸣鼓,0%,0,0,0%,,--,漳州市漳浦县大南坂镇腊山村村部旁,,,
333,礼拜堂,0%,0,0,0%,,--,福建省漳州市龙海市南环城路,,具体收费情况以现场公示为主,
334,礼拜堂,0%,0,0,0%,,--,南山路与双庵路交叉口西南50米,,具体收费情况以现场公示为主,
335,正阳宫,0%,0,0,0%,,--,福建省漳州市华安县X344,,具体收费情况以现场公示为主,
336,礼拜堂,0%,0,1,0%,,3.0,福建省漳州市龙海市镇前路,,具体收费情况以现场公示为主,
337,礼拜堂(新华西路店),0%,0,0,0%,,--,福建省漳州市华安县新村路后坑41-1,,具体收费情况以现场公示为主,
338,兴教寺,0%,0,0,0%,,--,金山镇霞涌村上永,,具体收费情况以现场公示为主,
339,礼拜堂(解放东街店),0%,0,0,0%,,--,福建省漳州市长泰区X594,,具体收费情况以现场公示为主,
340,漳州武庙,0%,0,0,0%,,--,福建省漳州市龙海市白水镇山边村境内,,具体收费情况以现场公示为主,
341,礼拜堂(靖城镇人民调解委员会东北),0%,0,0,0%,,--,仙北路133(仙都镇下林村境内),,具体收费情况以现场公示为主,
342,刁公庙,0%,0,0,0%,,--,福建省漳州市龙海区程溪镇倒桥作业区,,具体收费情况以现场公示为主,
343,东狱庙,0%,0,0,0%,,--,福建省漳州市芗城区西桥街道蜈蚣山路南山小学附近,,具体收费情况以现场公示为主,
344,大帽山休闲农场,0%,0,0,0%,,--,九湖镇(林下幼儿园对面),,具体收费情况以现场公示为主,
345,漳州火车站广场,0%,0,0,0%,,0.0,福建省漳州市龙海市东园镇过田村田墘井头社,,具体收费情况以现场公示为主,
346,伽蓝大王,0%,0,3,0%,,4.5,漳州市长泰县建设北路23号,,具体收费情况以现场公示为主,
347,玉兰公园,0%,0,0,0%,,--,福建省漳州市长泰县X592,,具体收费情况以现场公示为主,
348,金峰公园,0%,0,0,0%,,--,白水镇方田村境内,,具体收费情况以现场公示为主,
349,月港公园,0%,0,0,0%,,--,福建省漳州市芗城区天宝镇天宝山,,具体收费情况以现场公示为主,
350,西溪亲水公园-下尾段,0%,0,0,0%,,--,福建省漳州市南靖县龙船线,,具体收费情况以现场公示为主,
351,西溪亲水公园,0%,0,1,0%,,4.0,福建省漳州市龙海区浮宫镇凤山寺,,具体收费情况以现场公示为主,
352,狮王堡智能拓展游乐园,0%,0,0,0%,,--,长泰二中对面,,具体收费情况以现场公示为主,
353,闽南故事文化园,0%,0,0,0%,,--,程溪镇粗坑村,,具体收费情况以现场公示为主,
354,吴妈老棵柚,0%,0,0,0%,,--,福建省漳州市南靖县船场镇坑头村,,具体收费情况以现场公示为主,
355,福锦·中心广场,0%,0,0,0%,,--,经历巷17号,,具体收费情况以现场公示为主,
356,思源广场,0%,0,0,0%,,--,漳州市龙文区小港北路15,,具体收费情况以现场公示为主,
357,东方广场,0%,0,0,0%,,0.0,109省道,,,
358,友福啤酒广场,0%,0,0,0%,,--,福建省漳州市龙文区沃尔玛九龙大道清华园,,具体收费情况以现场公示为主,
359,真人CS俱乐部(芝山公园店),0%,0,0,0%,,--,樟山社,,具体收费情况以现场公示为主,
360,王爷公庙,0%,0,0,0%,,--,和平路6号附近,,具体收费情况以现场公示为主,
361,假日新天地,0%,0,0,0%,,--,瑞金路北50米,,具体收费情况以现场公示为主,
362,真耶稣教会,0%,0,3,0%,,4.3,福建省漳州市芗城区闽师大钟法路启慧幼儿园北200米,,具体收费情况以现场公示为主,
363,真人CS俱乐部,0%,0,0,0%,,--,石亭镇北斗村北斗中心小学附近,,具体收费情况以现场公示为主,
364,圣王庙,0%,0,0,0%,,--,福建省漳州市芗城区芝山路芝山公园,,具体收费情况以现场公示为主,
365,双庵庙,0%,0,0,0%,,--,绥安镇鹿溪村,,具体收费情况以现场公示为主,
366,蒋氏宗祠,0%,0,1,0%,,5.0,福建省漳浦县赤土乡东部,,具体收费情况以现场公示为主,
367,流渡公园,0%,0,0,0%,,--,福建省漳州市平和县环镇西路,,具体收费情况以现场公示为主,
368,华安城关基督教会,0%,0,0,0%,,--,福建省漳州市龙海市紫葳路15号,,具体收费情况以现场公示为主,
369,浮山庙,0%,0,0,0%,,--,寨窑村,,具体收费情况以现场公示为主,
370,祥涌保福堂,0%,0,0,0%,,--,福建省漳州市龙文区江滨路碧湖社境内,,具体收费情况以现场公示为主,
371,林墩教堂,0%,0,1,0%,,5.0,福建省漳州市龙海市平宁路榜山镇政府东北100米,,具体收费情况以现场公示为主,
372,山边佛祖庙,0%,0,0,0%,,0.0,漳州市龙海区打石街24号,,,
373,龙显宫,0%,0,0,0%,,--,公园路6,,具体收费情况以现场公示为主,
374,地母殿,0%,0,0,0%,,--,福建省漳州市云霄县王爹庙(521县道东150米),,具体收费情况以现场公示为主,
375,娘妈庙,0%,0,0,0%,,--,漳州市诏安县太平镇点灯山,,具体收费情况以现场公示为主,
376,林下圆通堂,0%,0,0,0%,,--,漳州市云霄县云陵镇金霞路214号(阳光床垫家具店)西,,具体收费情况以现场公示为主,
377,辅信将军庙,0%,0,0,0%,,--,福建省漳州市云霄县火田镇火田村,,具体收费情况以现场公示为主,
378,武德园,0%,0,0,0%,,--,福建省漳州市漳浦县杜浔镇路边村黄金坂40-1号,,具体收费情况以现场公示为主,
379,武圣帝君,0%,0,0,0%,,3.5,533县道附近,,具体收费情况以现场公示为主,
380,春芳公园,0%,0,0,0%,,--,福建省漳州市诏安县中山西路233号,,具体收费情况以现场公示为主,
381,仙姑岭东岳宫,0%,0,0,0%,,--,漳州市诏安县中山西路中山公园西南侧约120米,,具体收费情况以现场公示为主,
382,文殊岩,0%,0,0,0%,,--,福建省漳州市诏安县山河村,,具体收费情况以现场公示为主,
383,笔峰观音庙,0%,0,0,0%,,,,,,
384,凤山寺杨梅园,0%,0,0,0%,,--,西环城路北100米,,具体收费情况以现场公示为主,
385,锦江公园,0%,0,0,0%,,--,福建省漳州市龙海市,,具体收费情况以现场公示为主,
386,祖师公庙,0%,0,0,0%,,--,岩溪顶安小区,,具体收费情况以现场公示为主,
387,西天寺景区,0%,0,0,0%,,--,福建省漳州市南靖县金山镇都美村境内,,具体收费情况以现场公示为主,
388,基督教漳州福音堂,0%,0,0,0%,,--,龙海市s208院前水库对面,,具体收费情况以现场公示为主,
389,侨村堂,0%,0,0,0%,,--,福建省漳州市龙海区浮宫镇云盖寺,,具体收费情况以现场公示为主,
390,曾氏宗祠,0%,0,0,0%,,--,漳州市招商卡达凯斯,,具体收费情况以现场公示为主,
391,角美法雨寺,0%,0,0,0%,,--,福建省漳州市龙海市招商大道,,具体收费情况以现场公示为主,
392,漳州清华园基督教堂聚会点,0%,0,0,0%,,--,漳州市长泰区银泰西路建超绿建科技园西南侧约180米,,具体收费情况以现场公示为主,
393,樟山王氏祖祠,0%,0,0,0%,,--,漳州市南靖县607县道福建云水古道写生基地内,,具体收费情况以现场公示为主,
394,注生宫,0%,0,0,0%,,--,三平风景区附近,,具体收费情况以现场公示为主,
395,下碑村土地公庙,0%,0,0,0%,,--,官浔镇溪坂村,,具体收费情况以现场公示为主,
396,福建临时省委旧址,0%,0,0,0%,,--,福建省漳州市华安县G76(厦蓉高速公路),,具体收费情况以现场公示为主,
397,祖师公庙,0%,0,0,0%,,--,长泰区,,具体收费情况以现场公示为主,
398,长江支队纪念园,0%,0,0,0%,,0.0,延安南路21号附近,,,
399,万科滨江公园,0%,0,0,0%,,--,福建省漳州市龙海市隆教乡红星村境内,,具体收费情况以现场公示为主,
400,胡氏家庙世经堂,0%,0,0,0%,,0.0,丹霞路128-1号,,具体收费情况以现场公示为主,
401,漳浦县白鹭森林公园,0%,0,0,0%,,,,,,
402,鸿江公园,0%,0,0,0%,,--,漳州市南靖县解放东街南靖中山医院,,具体收费情况以现场公示为主,
403,月老园,0%,0,0,0%,,--,福建省漳州市漳浦县程长线,,具体收费情况以现场公示为主,
404,扬基植物园,0%,0,0,0%,,0.0,漳州市龙文区,,,
405,杨氏宗祠诒燕堂,0%,0,1,0%,,4.3,灵通风景区,,,
406,平宁首兴宫,0%,0,0,0%,,--,福建省漳州市漳浦县S201,,具体收费情况以现场公示为主,
407,宛南亭,0%,0,0,0%,,--,福建省漳州市龙海市颜厝镇丹州村境内,,具体收费情况以现场公示为主,
408,街心公园,0%,0,0,0%,,--,石码镇紫葳路,,具体收费情况以现场公示为主,
409,顶关帝庙,0%,0,0,0%,,--,福建省漳州市龙海市紫泥镇安山村,,具体收费情况以现场公示为主,
410,王爹庙,0%,0,0,0%,,--,东夏街滨江花园附近,,,
411,明灯寺,0%,0,0,0%,,--,福建省漳州市云霄县G324(福昆线),,具体收费情况以现场公示为主,
412,西霞亭,0%,0,0,0%,,--,福建省漳州市漳浦县G15(沈海高速),,具体收费情况以现场公示为主,
413,陈政故居,0%,0,0,0%,,--,江辉路56号,,具体收费情况以现场公示为主,
414,欧阳宗祠(漳浦),0%,0,0,0%,,--,漳州市漳浦县六鳌古城内,,具体收费情况以现场公示为主,
415,云霄县甘露寺,0%,0,0,0%,,--,福建省漳州市诏安县山河村内,,具体收费情况以现场公示为主,
416,沈锡纯沈冰山纪念馆,0%,0,0,0%,,--,福建省漳州市龙海市颜厝镇西坑村境内,,具体收费情况以现场公示为主,
417,沈氏家庙饗保堂,0%,0,0,0%,,--,蜈蚣山路与西环城路交叉口西南100米,,具体收费情况以现场公示为主,
418,大夫第祠堂,0%,0,0,0%,,--,黄井工业区,,具体收费情况以现场公示为主,
419,龙海宝峰寺,0%,0,0,0%,,--,漳州市龙海市,,具体收费情况以现场公示为主,
420,净莲寺,0%,0,0,0%,,--,漳州市南靖县书洋镇福建土楼云水谣旅游区内,,具体收费情况以现场公示为主,
421,九湖公园,0%,0,0,0%,,--,漳州市平和县长乐乡政府旁边,,具体收费情况以现场公示为主,
422,常春岩佛祖庙,0%,0,0,0%,,--,大众南路114,,具体收费情况以现场公示为主,
423,天妃宫,0%,0,0,0%,,--,漳州市龙海区大众北路龙澄小区东北侧约290米,,具体收费情况以现场公示为主,
424,白莲池景区,0%,0,0,0%,,--,福建省漳州市长泰县岩溪镇霞美村境内,,具体收费情况以现场公示为主,
425,凤山寺,0%,0,0,0%,,0.0,福建省漳州市龙海市台商投资区角美龙佳山庄旁,,,
426,云盖古刹,0%,0,0,0%,,--,漳州市龙文区迎宾大道57号,,具体收费情况以现场公示为主,
427,卡达凯斯千人大教堂,0%,0,12,0%,,4.5,福建省漳州市南靖县X562,景区全天开放；居民楼7:00-20:00。,90元,
428,云盖禅院,0%,0,0,0%,,--,福建省漳州市平和县九峰镇陈彩村境内,,具体收费情况以现场公示为主,
429,永宁宫,0%,0,1,0%,,4.5,福建省漳州市芗城区新华北路39号,,具体收费情况以现场公示为主,
430,德兴庙,0%,0,0,0%,,,,,,
431,天宝堂,0%,0,0,0%,,0.0,新华东路南50米,,具体收费情况以现场公示为主,
432,侍者公庙,0%,0,0,0%,,--,迎宾大道与龙江中路交叉口东南150米,,具体收费情况以现场公示为主,
433,翁氏大宗祠,0%,0,0,0%,,--,漳州市龙海区Y516浒茂中学西南侧约150米,,具体收费情况以现场公示为主,
434,玉兰宫公园,0%,0,0,0%,,--,福建省漳州市龙文区小港村后房社,,具体收费情况以现场公示为主,
435,普济岩,0%,0,0,0%,,--,漳州市龙文区建元东路2号漳州碧湖万达广场F3,,,
436,沈福文珍藏书画陈列馆,0%,0,0,0%,,--,漳州市漳浦县六鳌抽象画廊景区内,全年 全天开放,具体收费情况以现场公示为主,
437,漳州蓝氏家庙种玉堂,0%,0,1,0%,,4.3,漳州市龙海区弘正教育龙海幼教连锁集团(新世纪分园)东南侧,,具体收费情况以现场公示为主,
438,慧华寺,0%,0,0,0%,,--,福建省漳州市云霄县莆美镇阳下村境内,,,
439,优阳蜜坊蜜蜂博物馆旗舰店,0%,0,0,0%,,--,南诏镇中山路450号,,具体收费情况以现场公示为主,
440,北斗草亭佛祖庙,0%,0,14,0%,,4.4,漳州市南靖县塔下村,全年 全天开放,,
441,朝阳庙,0%,0,0,0%,,--,漳州市长泰县,,具体收费情况以现场公示为主,
442,真耶稣教会,0%,0,0,0%,,--,福建省漳州市华安县,,具体收费情况以现场公示为主,
443,赤领关帝庙,0%,0,0,0%,,--,漳州市龙文区建元东路2号漳州碧湖万达广场F2,,,
444,平和灵通山地质博物馆,0%,0,0,0%,,--,漳州市龙海市紫崴路44号美一城广场F5,,,
445,法泉寺,0%,0,1,0%,,,,,,
446,杨氏宗祠,0%,0,0,0%,,,,,,
447,龙海紫葳绿地,0%,0,0,0%,,--,九峰镇九峰小学北260米,,具体收费情况以现场公示为主,
448,龙海市紫泥镇安山菩提寺,0%,0,0,0%,,0.0,柑仔市69-1,,具体收费情况以现场公示为主,
449,视客,0%,0,0,0%,,--,岱山路48号,,具体收费情况以现场公示为主,
450,心星儿童乐园,0%,0,0,0%,,--,福建省漳州市云霄县云漳路云霄烈士陵园(益民大厦东南),,具体收费情况以现场公示为主,
451,英济宫,0%,0,0,0%,,--,民安路9号,,,
452,漳浦县杜浔龙狮岩,0%,0,0,0%,,0.0,漳州市漳浦县,,具体收费情况以现场公示为主,
