,中文名,景点排名,攻略数量,评论数量,旅游率,景区介绍,评分,地址,开放时间,门票,价格
196,丁荣村,0%,0,0,0%,,--,中山中路175号,,具体收费情况以现场公示为主,
197,铁炉庙,0%,0,0,0%,,--,华中街尊贵工业园西50米,,具体收费情况以现场公示为主,
198,昭惠庙,0%,0,0,0%,,--,西坪镇南岩村,,具体收费情况以现场公示为主,
199,莫耶故居,0%,0,0,0%,,0.0,陈埭镇河滨北路附近,,具体收费情况以现场公示为主,
200,洛伽寺,0%,0,0,0%,,,,,,
201,余光中文学馆,0%,0,0,0%,,--,延年路122号,,具体收费情况以现场公示为主,
202,佛耳山,0%,0,0,0%,,--,新门街北拓13幢,,具体收费情况以现场公示为主,
203,石狮城隍庙,0%,0,0,0%,,--,进城大道中国白博物馆一楼,,具体收费情况以现场公示为主,
204,城隍宫,0%,0,0,0%,,0.0,东湖街道东湖街425号泉州海外交通史博物馆1楼,,,
205,石狮六胜塔公园,0%,0,0,0%,,0.0,长兴路与晋宁路交叉口西南750米,,具体收费情况以现场公示为主,
206,1915艺术空间,0%,0,0,0%,,0.0,青阳街道一号路与文景路交叉口东北200米,全年 10:00-20:00,具体收费情况以现场公示为主,
207,华山古民居,0%,0,0,0%,,0.0,东湖街732号华侨历史博物馆一楼,,,
208,泰山楼,0%,0,0,0%,,,,,,
209,利郎创意园综合楼,0%,0,0,0%,,0.0,湖头镇340县道附近,,,
210,鞋都公园,0%,0,0,0%,,0.0,城厢镇河滨南路3幢,,具体收费情况以现场公示为主,
211,学府公园,0%,0,0,0%,,0.0,长宁路,,具体收费情况以现场公示为主,
212,音乐喷泉公园,0%,0,0,0%,,--,陈埭镇洋埭村江滨北路,,具体收费情况以现场公示为主,
213,丰集艺术馆,0%,0,0,0%,,0.0,桂华路117号附近,,,
214,戴云山艺术馆,0%,0,0,0%,,0.0,江南街道江滨南路,,具体收费情况以现场公示为主,
215,宗教石刻陈列馆,0%,0,0,0%,,0.0,溪美街道湖新路26号,,具体收费情况以现场公示为主,
216,崎山公园,0%,0,0,0%,,0.0,德泰路109,,,
217,晋江洪山体育公园,0%,0,0,0%,,0.0,狮渊路与308省道交叉口西北150米,,具体收费情况以现场公示为主,
218,桑莲居艺术馆,0%,0,0,0%,,--,西环路,,具体收费情况以现场公示为主,
219,晋江国际会展中心,0%,0,0,0%,,0.0,北清东路西湖北侧泉州博物馆内,全年 09:00-17:00,,
220,石窟公园,0%,0,0,0%,,0.0,泉州市丰泽区清源花博园1期13号,,具体收费情况以现场公示为主,
221,尚大公园,0%,0,0,0%,,--,城关西北侧,全年 全天开放,具体收费情况以现场公示为主,
222,金钱山公园,0%,0,0,0%,,4.8,泉州市德化县浔中镇浔北西路68号-34,全年 08:30-17:30,60元,
223,体育公园,0%,0,0,0%,,5.0,泉州市鲤城区西街与象峰巷交叉路口往南约100米(肃清门广场西北侧约50米),,,
224,江滨公园,0%,0,0,0%,,4.5,河滨北路,,具体收费情况以现场公示为主,
225,桂山公园,0%,0,0,0%,,0.0,学府路北1区-3号楼-11-12号,,,
226,江南公园,0%,0,0,0%,,0.0,涂门街174号-184号,,具体收费情况以现场公示为主,
227,柳湖公园,0%,0,0,0%,,0.0,清源街道江滨北路,,,
228,仙公山公园,0%,0,0,0%,,0.0,福璟花园对面,,,
229,市民公园,0%,0,0,0%,,--,水头镇新营村飞瓦岩,,具体收费情况以现场公示为主,
230,初心公园,0%,0,0,0%,,--,三坑村,,具体收费情况以现场公示为主,
231,鸡母石山公园,0%,0,0,0%,,5.0,灵源山脚灵源驿站两侧,全年 全天开放,具体收费情况以现场公示为主,
232,世界闽南文化展示中心,0%,0,0,0%,,--,水头镇安平西道与沿海通道交叉口东北200米,,,
233,绿雅轩家居植物园,0%,0,0,0%,,0.0,南环路上村,,,
234,唐寨山森林公园,0%,0,0,0%,,4.0,井亭巷69号,,,
235,臻峰文创园,0%,0,0,0%,,--,泉州市晋江市金井镇围头村823号,,具体收费情况以现场公示为主,
236,洲紫新筑,0%,0,0,0%,,--,净南村净峰寺,,具体收费情况以现场公示为主,
237,安溪茶叶公园,0%,0,0,0%,,0.0,镇抚巷38号,,具体收费情况以现场公示为主,
238,陈光纯墓,0%,0,0,0%,,4.0,梅岭街道文竹路469号,,具体收费情况以现场公示为主,
239,南安河滨公园,0%,0,0,0%,,0.0,三班镇蔡径村,,具体收费情况以现场公示为主,
240,锡兰侨民旧居,0%,0,0,0%,,--,灵秀镇,,具体收费情况以现场公示为主,
241,北滨江公园白水营园,0%,0,0,0%,,0.0,东观西台1号,,,
242,惠安溪滨公园,0%,0,0,0%,,0.0,府文庙广场西侧,,,
243,飞瓦古地,0%,0,0,0%,,0.0,柳城街道柳南西路,,具体收费情况以现场公示为主,
244,三坑生态公园,0%,0,0,0%,,--,梅岭街道南山路与湖光路交叉口西北100米,,具体收费情况以现场公示为主,
245,晋江灵源公园,0%,0,0,0%,,5.0,净峰镇湖街村七里湖,全年 08:00-20:00,具体收费情况以现场公示为主,
246,文化公园,0%,0,0,0%,,0.0,湖光西路与南山路交叉口东南100米,,具体收费情况以现场公示为主,
247,紫山古地,0%,0,0,0%,,0.0,清源山上,,具体收费情况以现场公示为主,
248,定心塔,0%,0,0,0%,,--,桂坊大道与鞋都路交叉口南100米,,,
249,天官第,0%,0,0,0%,,--,仙夹镇仙乡东路,,具体收费情况以现场公示为主,
250,围头八二三战地公园,0%,0,0,0%,,--,湖头镇中山街,,具体收费情况以现场公示为主,
251,惠女石雕,0%,0,0,0%,,0.0,义全街,,,
252,叶氏华侨旧居,0%,0,0,0%,,--,山腰街道南山南路,,具体收费情况以现场公示为主,
253,竹树下教委公园,0%,0,0,0%,,--,浔中镇浔北路49号,,具体收费情况以现场公示为主,
254,月记窑,0%,0,0,0%,,4.0,五里街镇儒林街与八二三中路交叉口东南50米,,,
255,灵秀山风景区,0%,0,0,0%,,0.0,许厝埕24号,,,
256,东观西台吴氏大宗祠,0%,0,0,0%,,--,龙鹏街270号,,具体收费情况以现场公示为主,
257,文庄蔡公祠,0%,0,0,0%,,0.0,泉州高新技术产业园区,,具体收费情况以现场公示为主,
258,南山公园,0%,0,0,0%,,0.0,五店市状元街7号,,具体收费情况以现场公示为主,
259,圣公宫壁画,0%,0,0,0%,,4.0,延平东路12号,,具体收费情况以现场公示为主,
260,青阳山,0%,0,0,0%,,0.0,青龙巷32号,,,
261,净峰林场,0%,0,0,0%,,--,308省道与342县道交叉口西150米,,具体收费情况以现场公示为主,
262,青阳庄氏震福公宗祠,0%,0,0,0%,,--,杭边村中区42号,,具体收费情况以现场公示为主,
263,清源天湖,0%,0,1,0%,,5.0,金鱼巷6号,,具体收费情况以现场公示为主,
264,西滨公园,0%,0,0,0%,,--,常泰街道五星社区紫南南路7号,,具体收费情况以现场公示为主,
265,天柱岩,0%,0,0,0%,,--,蚶江文园小区58号,,具体收费情况以现场公示为主,
266,问房大厝,0%,0,0,0%,,0.0,泉州市石狮市西洋路与石泉二路交叉路口往西约200米,,,
267,伍堡公园,0%,0,0,0%,,0.0,世纪大道,,,
268,泉港中心公园,0%,0,0,0%,,0.0,泉秀街道江滨北路,,,
269,水头洋楼,0%,0,0,0%,,4.7,临漳门环岛,,具体收费情况以现场公示为主,
270,驾云亭公园,0%,0,0,0%,,0.0,江南街道王宫街31号,,,
271,永春儿童公园,0%,0,0,0%,,0.0,北山巷4号金粟古寺附近,,,
272,陈振辰古民居,0%,0,0,0%,,--,304县道东100米,,具体收费情况以现场公示为主,
273,鹏都公园,0%,0,0,0%,,0.0,梅岭街道桂山村,,具体收费情况以现场公示为主,
274,泉州江南波园,0%,0,0,0%,,0.0,陈埭镇文化中心,,具体收费情况以现场公示为主,
275,朝北大厝,0%,0,0,0%,,0.0,江滨花苑19号店面,全年 08:30-21:30,具体收费情况以现场公示为主,
276,中宪第,0%,0,1,0%,,4.4,泉州市石狮市石金路299号,全年 周二-周日 09:00-17:30,80元,
277,林廉平海蛎壳厝,0%,0,0,0%,,5.0,泉州市丰泽区新华北路西湖公园南门,,具体收费情况以现场公示为主,
278,玉宝殿风景区,0%,0,0,0%,,--,泉州市永春县桃城镇南星社区1号村部左后方100米,全年 09:00-18:00,150元,
279,祖闾苏民居,0%,0,0,0%,,--,泉州市泉港区土坑遗址(龙狮路北300米),,具体收费情况以现场公示为主,
280,杭边公园,0%,0,0,0%,,5.0,泉州市南安市榕桥祥塘开化洞,全年 全天开放,具体收费情况以现场公示为主,
281,金鱼巷,0%,0,0,0%,,4.0,泉州市晋江市,,具体收费情况以现场公示为主,
282,斗南陈氏民居,0%,0,0,0%,,--,泉州市永春县苏坑镇嵩山村,全年 全天开放,具体收费情况以现场公示为主,
283,蚶江文化公园,0%,0,0,0%,,,,,,
284,西洋公园,0%,0,0,0%,,4.8, 碧水湾23号 ,,具体收费情况以现场公示为主,
285,绿洲公园,0%,0,0,0%,,5.0,南洋路星期YI服饰创意博览园,全年 全天开放,具体收费情况以现场公示为主,
286,江滨体育公园游乐园,0%,0,0,0%,,--,泉州市惠安县大岞山,全年 09:00-21:00,具体收费情况以现场公示为主,
287,临漳楼,0%,0,0,0%,,0.0,新华南路102号附近,,具体收费情况以现场公示为主,
288,王宫古地,0%,0,0,0%,,0.0,泉州市永春县桃城镇花石社区1-1号,全年 08:30-17:30,具体收费情况以现场公示为主,
289,南湾公园,0%,0,0,0%,,0.0,华鹰路,,具体收费情况以现场公示为主,
290,北山宫,0%,0,0,0%,,0.0,蚶江村锦潮小区,,具体收费情况以现场公示为主,
291,虹寨轩,0%,0,0,0%,,5.0, 金井镇围头村(近码头) ,全年 8:30-20:00,具体收费情况以现场公示为主,
292,晋台民俗馆,0%,0,0,0%,,--,福建省泉州市丰泽区丰海路979号,,具体收费情况以现场公示为主,
293,陈埭诗联书画社,0%,0,0,0%,,0.0,涂门街伊斯兰教清净寺内,,,
294,新天地美术馆,0%,0,0,0%,,0.0,泉秀街道乐中道与领秀中路交叉口西50米,,具体收费情况以现场公示为主,
295,世茂海上丝绸之路博物馆,0%,0,0,0%,,0.0,江滨东路236号附近,,具体收费情况以现场公示为主,
296,桃花岛,0%,0,0,0%,,--,水头街1号,,具体收费情况以现场公示为主,
297,南兴谷游乐景区,0%,0,0,0%,,0.0,337县道西50米,,具体收费情况以现场公示为主,
298,泉港土坑遗址,0%,0,0,0%,,5.0,汤城村内,全年 全天开放,具体收费情况以现场公示为主,
299,浮桥观音寺,0%,0,0,0%,,4.0,万科城二期,全年 全天开放,具体收费情况以现场公示为主,
300,南安榕桥开化洞(石佛洞),0%,0,0,0%,,--,石圳观音庙附近,全年 全天开放,具体收费情况以现场公示为主,
301,塘东村,0%,0,0,0%,,--,永和觉林禅寺,全年 全天开放,具体收费情况以现场公示为主,
302,嵩山村,0%,0,0,0%,,--,泉州市永春县,,具体收费情况以现场公示为主,
303,塔山水库,0%,0,1,0%,,5.0,青龙巷78号,,具体收费情况以现场公示为主,
304,三平寺庙,0%,0,0,0%,,4.7,福建省泉州市丰泽区泉秀街与刺桐南路交汇处领show天地妙街301,全年开放，周一至周日 10:00-22:00,90元,
305,星期YI服饰创意博览园,0%,0,0,0%,,4.8,泉州市丰泽区北郊清源山景区内,全年 8:00-17:00,包含于泉州清源山风景区内，通用泉州清源山风景区门票。,
306,大岞山新石器时代遗址,0%,0,0,0%,,5.0,石鼓镇奎峰山麓,,,
307,龙溪寺,0%,0,0,0%,,2.0,学院路西150米,,具体收费情况以现场公示为主,
308,党内政治生活体验馆,0%,0,0,0%,,,,,,
309,县城隍庙,0%,0,0,0%,,--,泉州市晋江市三二四国道,,具体收费情况以现场公示为主,
310,深沪湾国家地质公园,0%,0,0,0%,,5.0,泉州市-丰泽区-东海街道安吉南路郑成功公园,,具体收费情况以现场公示为主,
311,忠仁庙,0%,0,0,0%,,--,泉州市-南安市-X347,,,
312,围头军事主题旅游区,0%,0,0,0%,,4.0,庄际昌状元祠,全年 9:00-21:00,,
313,美山天妃宫,0%,0,0,0%,,--,泉州市-南安市-丰州镇清境桃源,全年 8:00-20:00,具体收费情况以现场公示为主,
314,Masjid al-Ashab博物馆,0%,0,0,0%,,--,泉州市-永春县-育才路,,,
315,妙街原创特色步行街,0%,0,0,0%,,--,泉州市-安溪县,,具体收费情况以现场公示为主,
316,惠女水库,0%,0,0,0%,,--,泉州市-安溪县,,具体收费情况以现场公示为主,
317,南安海潮庵,0%,0,0,0%,,--,泉州市安溪县尚卿乡黄岭村国心绿谷茶庄园,,,
318,南安英都洪氏家庙,0%,0,0,0%,,--,泉州市-安溪县,,具体收费情况以现场公示为主,
319,石湖妈祖宫,0%,0,0,0%,,0.0,泉州市洛江区园岭线,,具体收费情况以现场公示为主,
320,汤城温泉公园,0%,0,0,0%,,--,泉州市惠安县,,具体收费情况以现场公示为主,
321,泉州·北滨江公园北峰园,0%,0,0,0%,,--,泉州市-洛江区,,具体收费情况以现场公示为主,
322,石圳海滩,0%,0,0,0%,,--,泉州市-德化县,,具体收费情况以现场公示为主,
323,永和觉灵禅寺,0%,0,0,0%,,--,泉州市-南安市-镇府街91号,,,
324,嵩安村,0%,0,0,0%,,--,泉州市-南安市,,具体收费情况以现场公示为主,
325,青龙古地,0%,0,0,0%,,--,泉州市-永春县-达埔镇达中村999号,,具体收费情况以现场公示为主,
326,毕加索梦幻光影艺术馆,0%,0,0,0%,,--,泉州市-安溪县-罗内村,,具体收费情况以现场公示为主,
327,千手岩,0%,0,0,0%,,--,泉州市安溪县洋内村,,具体收费情况以现场公示为主,
328,魁星岩风景区,0%,0,0,0%,,--,泉州市-安溪县,,具体收费情况以现场公示为主,
329,三横一竖文创园,0%,0,0,0%,,--,泉州市-南安市,,具体收费情况以现场公示为主,
330,石狮龙穴景胜别墅,0%,0,0,0%,,--,泉州市德化县,,具体收费情况以现场公示为主,
331,泉州广济寺,0%,0,0,0%,,--,泉州市南安市,,具体收费情况以现场公示为主,
332,高厝林,0%,0,0,0%,,--,泉州市安溪县,,具体收费情况以现场公示为主,
333,云谷禅寺,0%,0,0,0%,,--,泉州市-德化县-101乡道与110乡道交叉口西南50米,,,
334,华美村文化服务中心,0%,0,0,0%,,--,泉州市-晋江市-土垵村梅安路1号,,,
335,百姓书房·府文庙阅读点,0%,0,0,0%,,--,泉州市丰泽区宝星路万达广场(泉州浦西店)东南侧,,具体收费情况以现场公示为主,
336,奇幻星空视界城,0%,0,0,0%,,--,泉州市-南安市,,具体收费情况以现场公示为主,
337,桂洋村文化综合服务中心,0%,0,0,0%,,--,泉州市-安溪县,,具体收费情况以现场公示为主,
338,坑仔口溪,0%,0,0,0%,,--,泉州市南安市三零五县道,,具体收费情况以现场公示为主,
339,溪坂头,0%,0,0,0%,,--,泉州市鲤城区清蒙经济开发区平安银行后栋二楼,,具体收费情况以现场公示为主,
340,小鬼尾山,0%,0,0,0%,,4.0,福建省泉州市鲤城区中山北路中山公园旁,,具体收费情况以现场公示为主,
341,国心绿谷云端滑道,0%,0,0,0%,,--,泉州市泉港区,,具体收费情况以现场公示为主,
342,石门垵,0%,0,0,0%,,0.0,通贤路,,具体收费情况以现场公示为主,
343,白云阉,0%,0,0,0%,,--,泉州市晋江市梅岭街道新华街246号,,具体收费情况以现场公示为主,
344,土砍脚,0%,0,0,0%,,0.0,诗山镇坊田村,,具体收费情况以现场公示为主,
345,小佳锥,0%,0,0,0%,,--,福建省泉州市南安市柳城街道福溪江北大道西溪半岛,,具体收费情况以现场公示为主,
346,小洋崎,0%,0,1,0%,,,,,,
347,码头社区文化服务中心,0%,0,0,0%,,5.0,螺城镇螺城科山,全年 09:00-21:00,具体收费情况以现场公示为主,
348,文幌,0%,0,0,0%,,,,,,
349,鼎诚村内妈祖宫,0%,0,0,0%,,--,官桥镇仙都村崩岗综合治理工程,全年 08:00-18:00,,
350,章内洪氏宗祠,0%,0,0,0%,,--,北溪村,,具体收费情况以现场公示为主,
351,罗内安山庙,0%,0,0,0%,,0.0,泉港区313县道(近朝阳公路),,具体收费情况以现场公示为主,
352,洋内村契真院,0%,0,0,0%,,0.0,永宁镇沙堤村董厝,,具体收费情况以现场公示为主,
353,汤内村,0%,0,1,0%,,--,泉州市永春县呈祥乡雪山岩附近,,具体收费情况以现场公示为主,
354,上金马安,0%,0,0,0%,,3.3,东海街道丰海路与府西路交叉口,,具体收费情况以现场公示为主,
355,章功,0%,0,0,0%,,--,泉州市晋江市福林村东区51号,,具体收费情况以现场公示为主,
356,下金马安,0%,0,0,0%,,--,泉州市晋江市福兴路684号晋江SM国际广场4楼,,100元,
357,冷水堀,0%,0,0,0%,,--,南安市水头镇山前村15-17幢,全年 8:00-17:30,免费,
358,福建山樱花旅游苗本基地,0%,0,4,0%,,5.0,宋塘路南侧,9:00-12:0014:30-17:30（全年无休）,免费,
359,泉州市瑶景园林景观工程有限公司,0%,0,0,0%,,--,永春县桃城镇桃城路40号,上午8:30-12:00；下午3：00-5：30,免费,
360,土垵村综合文化服务中心,0%,0,0,0%,,--,福建省泉州市德化县城东开发区城东路30-4顺美陶瓷文化生活馆,8:00-17:30（大年三十和正月初一闭馆，特殊情况除外）,免费,
361,李叔同观水平台,0%,0,0,0%,,--,泉州市永春县S306,全年 全天开放,具体收费情况以现场公示为主,
362,幻影蓝圣地亚哥红,0%,0,0,0%,,0.0,泉州市永春县一都镇仙友村550号,周一至周日：8:30-18:00，最晚入园、,38元,
363,坂仔尾,0%,0,8,0%,,3.9,鲤城区开元街道新春社区新街21号,全年 全天开放,具体收费情况以现场公示为主,
364,坂仔头,0%,0,1,0%,,5.0,泉州市鲤城区镇抚巷37号觅鲤文创园三楼,周一至周五：13:00-22:00，周六至周日：10:00-23:00,具体收费情况以现场公示为主,
365,清蒙鼎天展示,0%,0,1,0%,,4.0,泉州市洛江区罗溪镇广桥村（福诏高速旁）,6月1日-10月31日：周一至周日8:30-18:00,118元,55
366,威远楼,0%,0,0,0%,,--,,,,
367,湄洲湾,0%,0,1,0%,,1.8,泉州市洛江区S35福诏高速,01/01-12/31 08:30-18:00,具体收费情况以现场公示为主,35
368,永春土楼,0%,0,0,0%,,--,新华北路366号开元盛世广场负一层(5号电梯旁),1月1日至12月31日，周一至周日：10:00-22:00,具体收费情况以现场公示为主,
369,金沙湾,0%,0,0,0%,,--,泉州市永春县一都镇仙友村550号,1月1日至12月31日，周一至周日：8:30-18:00,80元,5
370,敏月公园,0%,0,0,0%,,--,泉州市-晋江市-和平南路,,,
371,凤山寺游览区,0%,0,0,0%,,--,泉州市-安溪县-S308,,,
372,福建成功国际会展中心,0%,0,0,0%,,--,泉州市-安溪县-S308,,,
373,宝盖山,0%,0,0,0%,,--,泉州市-永春县-环城路98号,00:00-24:00,,
374,科山森林公园,0%,0,0,0%,,--,泉州市-南安市-齐云山正觉寺,,,
375,泉州游乐园,0%,0,0,0%,,--,泉州市-惠安县,,,
376,官桥花千谷景区,0%,0,0,0%,,--,泉州市-南安市-石井镇英良印象五号石材文化创意园,,,
377,北溪桃花谷,0%,0,0,0%,,--,泉州市-南安市-英都民山团结路73号,,,
378,樟脚金钟潭,0%,0,0,0%,,--,泉州市-晋江市-安海镇石狮巷72号,,,
379,洪恩岩,0%,0,0,0%,,--,泉州市-永春县-镇岭,,,
380,观音山,0%,0,0,0%,,--,泉州市-永春县-下洋镇牛姆林生态旅游区内,,,
381,雪山岩,0%,0,0,0%,,--,泉州市-惠安县,,,
382,滨海公园,0%,0,0,0%,,0.0,泉州市-晋江市-青阳镇八角楼1号晋江市人大常委会附近,,具体收费情况以现场公示为主,
383,福林寺,0%,0,0,0%,,--,泉州市-惠安县,,,
384,Hello动物星球雨林乐园,0%,0,0,0%,,--,泉州市-泉港区-黄田村,,,
385,福建省东星石文化艺术博物馆,0%,0,2,0%,,5.0,泉州市-丰泽区-蟳蜅村,,具体收费情况以现场公示为主,
386,石狮市博物馆,0%,0,0,0%,,0.0,福建省泉州市安溪县,,,
387,永春县博物馆,0%,0,0,0%,,--,泉州市-惠安县-张坂村申春巷115号,,,
388,福建省顺美海丝陶瓷历史博物馆,0%,0,3,0%,,5.0,泉州丰泽区大兴街东海泰禾首玺广场7A号楼b1-01、b1-02（通港西街南150米）,,20元,28
389,惠安县博物馆,0%,0,0,0%,,,,,,
390,中国香都,0%,0,0,0%,,--,泉州市-安溪县-S206,,,
391,介福紫美景区,0%,0,1,0%,,4.0,福建省泉州市涂门街,,,
392,小西埕,0%,0,0,0%,,--,美食街120号,,具体收费情况以现场公示为主,
393,泉州觅鲤幻光之恋,0%,0,0,0%,,--,福建省泉州市万荣街,,具体收费情况以现场公示为主,
394,泉州龙潭溪旅游风景区,0%,0,0,0%,,--,福建省泉州市柳山街,,,
395,草庵摩尼教寺庙遗址,0%,0,3,0%,,4.8,福建省泉州市东湖街,,具体收费情况以现场公示为主,
396,洛江虹山樱梅园,0%,0,0,0%,,0.0,福建省泉州市常兴路南环路路口,,具体收费情况以现场公示为主,
397,泉州奇趣科学百科馆,0%,0,0,0%,,0.0,参内镇河滨北路与东二环路交叉路口,,,
398,永春岱山岩,0%,0,0,0%,,0.0,泉安中路,,,
399,莲塘村,0%,0,0,0%,,--,福建省惠安县岩缝中学对面,,具体收费情况以现场公示为主,
400,白兰花志愿者云驿站,0%,0,0,0%,,0.0,福建省惠安县西华步行街,,,
401,龙潭溪兰花家庭农场,0%,0,0,0%,,--,福建省惠安县跃茂路,,具体收费情况以现场公示为主,
402,龙潭溪兰花专业合作社,0%,0,0,0%,,--,福建省惠安县崇武镇海门村附近,,,
403,永春直隶州古城隍庙,0%,0,0,0%,,--,滨海大道,,具体收费情况以现场公示为主,
404,南安齐云山正觉寺,0%,0,0,0%,,0.0,福建省南安市新街南路,,具体收费情况以现场公示为主,
405,恵安崇武志心寺,0%,0,0,0%,,0.0,福建省泉州市晋江市阳光路爱乐后面,,具体收费情况以现场公示为主,
406,英良印象五号世界石材博物馆,0%,0,0,0%,,0.0,泉安中路与旗牌街交叉口西侧,,,
407,民山极官祖祠,0%,0,0,0%,,--,福建省晋江市近金井镇政府,,具体收费情况以现场公示为主,
408,安海西宫夫人妈,0%,0,0,0%,,--,福建省泉州市丰泽区石头街,,,
409,楚安村公园,0%,0,1,0%,,5.0,福建省晋江市罗山镇苏内村,,具体收费情况以现场公示为主,
410,永春县颐园生态农场,0%,0,0,0%,,--,磁灶镇,,具体收费情况以现场公示为主,
411,闽楠群落,0%,0,0,0%,,0.0,观音巷14号,全年 周五 08:00-17:00,具体收费情况以现场公示为主,
412,松山林场,0%,0,0,0%,,5.0,金门县金宁乡桃园路1号,全年 8:00-17:00,,
413,青阳青华翠山亭,0%,0,7,0%,,4.8,泉州市安溪县城厢城团结村,周一-周日：8:30-18:00,20元,
414,獭窟岛,0%,0,0,0%,洞口形状犹如一片云朵，浑然天成，周边岩壁草木葱茏。,--,泉州市永春县下洋镇牛姆林景区内,全年 8:30-17:00,,
415,泉州市黄田村格仔山养殖基地,0%,0,0,0%,冬暖夏凉，深不见底，冬天吹出热气腾腾的云气，夏天吹出沁人心脾的凉气,--,泉州市永春县下洋镇牛姆林景区内,全年 8:30-17:00,,
416,蟳蜅妈祖庙,0%,0,0,0%,看清泉清幽，呼吸新鲜空气,0.0,泉州市永春县下洋镇牛姆林景区内,全年 8:30-17:00,,
417,泉州市安溪县福田乡云中山风景区,0%,0,1,0%,,5.0,泉州市鲤城区新门街65号3楼(邮政3楼),1月17日-12月31日：每周六15:30-16:30,158元,9.9
418,张坂净莲寺,0%,0,0,0%,看蓝湖巨瀑的幽凉深邃,0.0,泉州市永春县下洋镇牛姆林景区内,全年 8:30-17:00,,
419,青山湾侏罗纪世纪恐龙主题公园,0%,0,0,0%,,--,南洋路星光大厦附近,,具体收费情况以现场公示为主,
420,大美当代艺术馆,0%,0,0,0%,,--,龙湖镇衙口村,,具体收费情况以现场公示为主,
421,高仁休闲农场,0%,0,1,0%,,4.0,西街176号,,,
422,官桥人民公园,0%,0,3,0%,,4.0,泉州市西街开元寺内,,具体收费情况以现场公示为主,
423,泉州侨乡商品街,0%,0,0,0%,,--,泉州市丰泽区清源山上,,具体收费情况以现场公示为主,
424,温陵美食街,0%,0,0,0%,,--,清源山弥陀岩东南方,具体开放时间请咨询景区,首道大门票收费情况请咨询景区,
425,万荣精品步行街,0%,0,5,0%,,4.8,清源山弥陀岩西侧,具体开放时间请咨询景区,首道大门票收费情况请咨询景区,
426,三青现代城商业街,0%,0,2,0%,,5.0,金城镇金门国家公园北1公里,全年 8:30-17:00,具体收费情况以现场公示为主,
427,泉州海交民俗文化陈列馆,0%,0,0,0%,,--,泉州市金门县欧厝海滩,,具体收费情况以现场公示为主,
428,泉展商贸街,0%,0,0,0%,,--,金门县金湖镇,,具体收费情况以现场公示为主,
429,后城古玩街,0%,0,0,0%,,--,金门县金湖镇,,具体收费情况以现场公示为主,
430,中国茶博汇(河滨北路),0%,0,0,0%,,--,金沙镇三山里三山村,,具体收费情况以现场公示为主,
431,晋江锦绣商业街,0%,0,0,0%,,--,金门县烈屿乡,,具体收费情况以现场公示为主,
432,和祥石刻艺术展示园,0%,0,0,0%,,--,金甯乡金门县 892,,具体收费情况以现场公示为主,
433,福建省泉州市崇武镇西华步行街,0%,0,0,0%,,--,"Kinmen and Matsu Islands, 金城镇金门县 893",,具体收费情况以现场公示为主,
434,东园新超级市场小商品一条街,0%,0,0,0%,,--,金门县金宁乡顶林路,,具体收费情况以现场公示为主,
435,中华石雕工艺博览城,0%,0,7,0%,,4.6,泉州市鲤城区金鱼巷与中山中路交叉路口往东约90米,全年 全天开放,具体收费情况以现场公示为主,
436,土耳其大理石馆,0%,0,6,0%,,4.6,泉州市丰泽区清源山公园,,,
437,步行商品街,0%,0,0,0%,,--,金門縣金城鎮西海路(浯江溪口旁),全年 全天开放,无门票,
438,融星花园城商业街,0%,0,0,0%,,4.0,泉州市惠安县净峰惠女湾旅游景区,全年 8:00-22:00,具体收费情况以现场公示为主,
439,新街商品步行街,0%,0,0,0%,,--,金湖镇金门县 891,,,
440,旗牌商业街,0%,0,11,0%,,4.8,西街176号,,,
441,晋江市金井小城镇规划展示厅,0%,0,1,0%,,5.0,福建省泉州市鲤城区开闽三王祠,,具体收费情况以现场公示为主,
442,泉州港古建筑,0%,0,2,0%,,4.3,虎邱镇海坵89号,9:00-16:00,具体收费情况以现场公示为主,10
443,草庵石刻,0%,0,0,0%,,--,福建省泉州市南安市集星村大城68号,,具体收费情况以现场公示为主,
444,磁灶窑址,0%,0,0,0%,,0.0,福建省泉州市南安市G72(泉南高速公路),,具体收费情况以现场公示为主,
445,陈埭丁氏宗祠,0%,0,0,0%,,--,添寿福地茶文化创意产业园内,,具体收费情况以现场公示为主,
446,金門 高粱酒工廠,0%,0,1,0%,,5.0,泉州市鲤城区中山北路42号,,,
447,六君岩风景区,0%,0,2,0%,,4.5,泉安中路781号附近,,具体收费情况以现场公示为主,
448,牛魔洞,0%,0,0,0%,,--,福建省泉州市南安市S35(福诏高速),,具体收费情况以现场公示为主,
449,摩云洞,0%,0,1,0%,,5.0,泉州市惠安县仙公山,,,
450,火云洞,0%,0,0,0%,,--,福建省晋江市,,具体收费情况以现场公示为主,
451,飞来瀑,0%,0,0,0%,,--,浔中镇宝美村,,具体收费情况以现场公示为主,
452,泉府印象三道行艺术馆,0%,0,0,0%,,5.0,莆田塔斗山与望海塔,全年 全天开放,具体收费情况以现场公示为主,
453,黑龙沟瀑布,0%,0,4,0%,,4.9,泉州市洛江区安吉路与万盛街交叉口西南侧（大润发广场）,,具体收费情况以现场公示为主,
454,闽台老字号小吃街,0%,0,0,0%,,--,福建省泉州市南安市超前购物广场1楼,,具体收费情况以现场公示为主,
455,施琅将军故居,0%,0,0,0%,,--,凤里街道远景花园,,具体收费情况以现场公示为主,
