,景点名称,攻略数量,评分,景区介绍,景点排名,经度,纬度,评论数量,旅游率,图片url,中文名,英文名
197,金瓜楼Golden Melon Villa,3,88.0,用色大胆，造型奇特，漂亮的建筑物。,62.0,118.074302,24.450394,111,0.0,https://img1.qunarzz.com/travel/poi/1410/17/df4fb7e35ce3aadfffffffffc8d65eac.jpg_r_480x360x95_23b2491c.jpg,金瓜楼,GoldenMelonVilla
198,汀溪水库Xiamen Tingxi Reservoir,3,84.0,,317.0,118.1501371014,24.8039184209,12,0.0,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/f6e9c7aaa31e99611ac83958dce681d1.jpg_r_480x360x95_d062777b.jpg,汀溪水库,XiamenTingxiReservoir
199,五通灯塔公园Xiamen Wutong Lighthouse Park,5,94.0,,106.0,118.199639,24.530003,56,0.0,https://img1.qunarzz.com/travel/poi/1410/15/35f75ea89aaa2d1dffffffffc8d65eac.jpg_r_480x360x95_f2f443cc.jpg,五通灯塔公园,XiamenWutongLighthousePark
200,亦足山庄yizushanzhang,1,84.0,,63.0,118.073065,24.45214,37,0.0,https://img1.qunarzz.com/travel/poi/1410/14/4b5fb93ac051afa8ffffffffc8d65eac.jpg_r_480x360x95_3bb5193a.jpg,亦足山庄,yizushanzhang
201,厦门清真寺,1,100.0,厦门清真寺，位于福建省厦门市玉屏路西侧。该寺坐西朝东，呈狭长方形，总共分为三进，入门是天井庭院，二门内为大厅和厢房，三门内是礼拜殿，殿顶为悬山式建筑。,319.0,118.093771,24.462893,2,0.0,https://img1.qunarzz.com/travel/poi/1501/cc/a6b2248ee4d762.jpg_r_480x360x95_9c858082.jpg,厦门清真寺,
202,闽台小镇Fujian and Taiwan Town,2,80.0,,234.0,118.0506588955,24.6341304779,24,0.0,https://img1.qunarzz.com/travel/poi/1410/17/7467373c007d5909ffffffffc8d65eac.jpg_r_480x360x95_c59a3798.jpg,闽台小镇,FujianandTaiwanTown
203,银石牛排馆,1,0.0,,320.0,118.1050677909,24.5795549028,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,银石牛排馆,
204,厦门国际会展中心International Convention and Exhibition Center,29,90.0,,50.0,118.189322,24.473369,164,0.0,https://img1.qunarzz.com/travel/d2/1505/f9/b1493691d28676.jpg_r_480x360x95_142882a3.jpg,厦门国际会展中心,InternationalConventionandExhibitionCenter
205,厦门李林烈士纪念园Memorial Park of Martyr Li Lin,1,100.0,,322.0,118.110321,24.570809,1,0.0,https://img1.qunarzz.com/travel/poi/201303/14/5c56a3f0c5ab1378ddb12cfb.jpg_r_480x360x95_12af10b0.jpg,厦门李林烈士纪念园,MemorialParkofMartyrLiLin
206,欢唱量贩式KTV(湖滨中路店),1,0.0,,323.0,118.108276564,24.4723444701,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,欢唱量贩式湖滨中路店,KTV
207,观彩楼Guancai Building,3,90.0,,65.0,118.072621,24.452226,34,0.0,https://img1.qunarzz.com/travel/poi/1806/4b/986223b4f7186937.jpg_r_480x360x95_07909a36.jpg,观彩楼,GuancaiBuilding
208,龙头山寨遗址,1,80.0,龙头山寨遗址位于思明区鼓浪屿日光岩上。日光岩古称为龙头山，又称晃岩。清顺治四年（1647），郑成功辟厦门为抗清复台基地，龙头山（即日光岩）系其建寨屯防址之一。,66.0,118.074381,24.448684,1,0.0,https://img1.qunarzz.com/travel/d4/1703/2f/647aa02c531576b5.jpg_r_480x360x95_036dc26d.jpg,龙头山寨遗址,
209,古避暑洞Ancient Summer Shelter,4,92.0,,47.0,118.074123,24.448457,35,0.0,https://tr-osdcp.qunarzz.com/tr-osd-tr-mapi/img/c9c4c7bd911762c8121e4b2a603af931.jpg_r_480x360x95_c8d304a8.jpg,古避暑洞,AncientSummerShelter
210,福音堂Gospel Church,2,88.0,,69.0,118.075363,24.448263,14,0.0,https://img1.qunarzz.com/travel/d9/1703/d8/65b20732849bd6b5.jpg_r_480x360x95_43302346.jpg,福音堂,GospelChurch
211,观天下闽台宗祠博物馆,0,0.0,,328.0,118.1799755327,24.5280773996,0,0.0,https://img1.qunarzz.com/travel/poi/1408/26/69192c2cf70ee822ffffffffc8d65eac.jpg_r_480x360x95_c60d524a.jpg,观天下闽台宗祠博物馆,
212,牛庄文化园,1,80.0,厦门牛庄园区景观近八千平，集四个主题文化广场、艺术牛、水榭亭台、咖啡吧、创意牛车等景点于一体，艺术牛展览、小牛体验营，独一无二的文化艺术特色优势，已接待来自全国各地游客近百万人。,230.0,118.166076,24.483301,2,0.0,https://img1.qunarzz.com/travel/poi/1408/26/ecdcfa5e9bf7ea46ffffffffc8d65eac.jpg_r_480x360x95_ddef0d98.jpg,牛庄文化园,
213,集美农林学校旧址,0,0.0,,,118.1304224819,24.6306401675,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,集美农林学校旧址,
214,鼓浪屿当代艺术中心KCCA,0,100.0,,,118.066248,24.451497,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,鼓浪屿当代艺术中心,KCCA
215,汀溪镇古坑村,0,0.0,,,118.134059,24.799075,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,汀溪镇古坑村,
216,碧山岩寺,0,0.0,,,118.096728,24.451901,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,碧山岩寺,
217,容·美术馆,0,0.0,,,118.242240809,24.5438428361,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,容美术馆,
218,澳头村史馆玄象美学馆,0,0.0,,,118.239175,24.544848,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,澳头村史馆玄象美学馆,
219,小嶝月亮湾,0,0.0,,,118.401544,24.561263,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,小嶝月亮湾,
220,MOCEAN瞐尚,0,0.0,,,118.1884893297,24.5363617466,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,瞐尚,MOCEAN
221,杏林湾环湾,0,0.0,,,118.0720570545,24.6012083356,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,杏林湾环湾,
222,集美鳌园景区,0,0.0,,,118.113801,24.574573,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,集美鳌园景区,
223,三江口温泉湿地公园,0,0.0,,,117.952466,24.567789,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,三江口温泉湿地公园,
224,厦门总工会旧址,0,0.0,,,118.084635,24.463029,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,厦门总工会旧址,
225,龙山文创园,0,0.0,,,118.151417,24.491314,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,龙山文创园,
226,海沧湖公园,0,0.0,,,118.042156,24.488482,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,海沧湖公园,
227,颠倒星空体验馆,0,0.0,,,118.075412,24.451723,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,颠倒星空体验馆,
228,联发悦10空间,0,0.0,,,118.109299,24.51966,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,联发悦空间,
229,海峡虫动时光博物馆,0,100.0,,,118.081694,24.488385,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,海峡虫动时光博物馆,
230,城记·中山路,0,0.0,,,118.082776,24.458785,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,城记中山路,
231,柚子番美食街,0,0.0,,,118.165729,24.483124,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,柚子番美食街,
232,会展中心沙滩,0,80.0,,,118.1934813304,24.4710980502,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,会展中心沙滩,
233,东坪山水库,0,0.0,,,118.138447,24.456463,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,东坪山水库,
234,悦享中心空中萌宠乐园,0,0.0,,,118.119216,24.50027,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,悦享中心空中萌宠乐园,
235,观鸟廊,0,0.0,,,118.085391,24.483155,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,观鸟廊,
236,土屿岛,0,0.0,,,118.2004106795,24.4571332249,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,土屿岛,
237,集美集文化创意园,0,0.0,,,118.105263,24.58617,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,集美集文化创意园,
238,陈化成主题公园,0,0.0,,,118.1920160371,24.6594294196,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,陈化成主题公园,
239,印华1980创意园,0,0.0,,,118.1023066263,24.5194983089,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,印华创意园,
240,厦门Meland Club (集美世茂店),0,100.0,,,118.083127,24.608566,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,厦门集美世茂店,MelandClub
241,厦门喜事-大型实景360°全沉浸互动演出,0,100.0,,,118.081842,24.488631,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,厦门喜事大型实景全沉浸互动演出,
242,厦门海上游,0,100.0,,,118.083487,24.456722,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,厦门海上游,
243,准提寺,0,100.0,,,118.343009,24.66945,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,准提寺,
244,厦门会展展览中心,0,0.0,,,118.1907681549,24.4683225445,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,厦门会展展览中心,
245,仙岳山观音寺悠然园,0,0.0,,,118.1298738333,24.5098744456,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,仙岳山观音寺悠然园,
246,东溪公园,0,0.0,,,118.1691584838,24.7450037534,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,东溪公园,
247,万寿宫,0,0.0,,,118.1173074431,24.5547661147,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,万寿宫,
248,李氏宗祠,0,0.0,,,118.1305726487,24.4343126842,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,李氏宗祠,
249,莲花书院景区,0,0.0,,,118.0529136095,24.7417503235,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,莲花书院景区,
250,鹭潮鼓浪屿美院,0,100.0,,,118.0673074862,24.4515268777,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,鹭潮鼓浪屿美院,
251,佛光寺,0,0.0,,,118.1128277589,24.4703982277,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,佛光寺,
252,鼓浪屿风景名胜区-郑成功塑像,0,0.0,,,118.0732775471,24.4491788092,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,鼓浪屿风景名胜区郑成功塑像,
253,鼓浪屿风景名胜区-港仔后沙滩,0,0.0,,,118.0748616931,24.4459841619,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,鼓浪屿风景名胜区港仔后沙滩,
254,集美塔,0,0.0,,,118.065813239,24.6031709286,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,集美塔,
255,妙高山,0,0.0,,,118.339205,24.729868,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,妙高山,
256,郑成功东坪弈棋主题公园,0,0.0,,,118.14279,24.457813,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,郑成功东坪弈棋主题公园,
257,文保奇妙夜之胡里山炮台,0,100.0,,,118.112609,24.435605,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,文保奇妙夜之胡里山炮台,
258,官浔溪体育公园,0,0.0,,,118.163736,24.644846,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,官浔溪体育公园,
259,怀旧鼓浪屿博物馆Huaijiu Gulangyu Museum,0,0.0,,,118.0799235821,24.4527194648,0,0.0,https://flight-feed.qunarzz.com/as3/401/image/poi_vishnu/4511b81e-6b37-4913-97c9-280d0f7cc66a.jpg_480x360_18d4286c.jpg_480x360_bf2fde3e.jpg,怀旧鼓浪屿博物馆,HuaijiuGulangyuMuseum
260,石兜水库,0,0.0,,,118.0196177094,24.6968589384,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,石兜水库,
261,马约翰广场,0,0.0,,,118.0769115495,24.4486215034,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,马约翰广场,
262,朝天宫,0,0.0,,,118.115993,24.529693,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,朝天宫,
263,北湖公园,0,0.0,,,118.0428673376,24.4928348542,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,北湖公园,
264,厦门湖里山炮台,0,80.0,,,118.1521966749,24.5620288344,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,厦门湖里山炮台,
265,曲戈沉浸式换装体验馆,0,0.0,,,118.082759,24.609061,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,曲戈沉浸式换装体验馆,
266,原会审公堂,0,0.0,,,118.0728445787,24.4510514524,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,原会审公堂,
267,天语舟气象科技园,0,0.0,,,118.014846,24.509825,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,天语舟气象科技园,
268,D36运动嘉年华,0,0.0,,,118.081109,24.6068,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,运动嘉年华,D
269,大屏山公园,0,0.0,,,118.063416,24.503007,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,大屏山公园,
270,岩山,0,0.0,,,118.23912,24.735905,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,岩山,
271,鹭江,0,0.0,,,118.084334,24.462722,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,鹭江,
272,溪林花海,0,0.0,,,118.1088609514,24.7455815808,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,溪林花海,
273,大山母,0,0.0,,,118.121753,24.85992,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,大山母,
274,香花海,0,0.0,,,118.301993,24.633949,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,香花海,
275,青龙宫,0,0.0,,,118.194763,24.530483,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,青龙宫,
276,海洋科技博物馆,0,100.0,,,118.101883,24.439423,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,海洋科技博物馆,
277,五通翔龙海上运动中心,0,98.0,,,118.197156,24.538096,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,五通翔龙海上运动中心,
278,五缘湾望潮帆船,0,100.0,,,118.187246,24.539928,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,五缘湾望潮帆船,
279,厦门奇幻解压馆,0,100.0,,,118.094721,24.442476,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,厦门奇幻解压馆,
280,五缘湾海上乐园,0,0.0,,,118.187815,24.53993,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,五缘湾海上乐园,
281,北岸艺术区,0,0.0,,,118.107965,24.492495,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,北岸艺术区,
282,新景步行街,0,0.0,,,118.1389634048,24.5017840938,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,新景步行街,
283,鲸探海洋科普研学基地,0,70.0,,,118.094952,24.582841,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,鲸探海洋科普研学基地,
284,水天花月广场,0,0.0,,,118.0743419441,24.5976247862,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,水天花月广场,
285,后滨池府龙威殿,0,0.0,,,118.2563510699,24.6623295194,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,后滨池府龙威殿,
286,林巧稚大夫,0,0.0,,,118.087297,24.456258,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,林巧稚大夫,
287,南湖公园-日本园,0,0.0,,,118.1137267526,24.4836802244,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,南湖公园日本园,
288,海丝陶瓷艺术馆,0,0.0,,,118.141759784,24.5402109514,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,海丝陶瓷艺术馆,
289,法治文化广场Legal System Cultural Plaza,0,0.0,,,118.2545418455,24.631761401,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,法治文化广场,LegalSystemCulturalPlaza
290,雪樵公园,0,0.0,,,118.140720702,24.7285907358,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,雪樵公园,
291,冰雪企鹅城,0,0.0,,,118.0823437158,24.6312800248,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,冰雪企鹅城,
292,丝绸文化博览馆,0,0.0,,,118.11728,24.619848,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,丝绸文化博览馆,
293,厦门老街博物馆,0,0.0,,,118.0835291522,24.463276419,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,厦门老街博物馆,
294,梅山公园,0,0.0,,,118.1682121758,24.740818086,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,梅山公园,
295,东浦公园,0,0.0,,,118.1361114158,24.4814714309,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,东浦公园,
296,陈嘉庚语录碑廊,0,0.0,,,118.101128,24.594563,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,陈嘉庚语录碑廊,
297,梦之岛主题公园,0,0.0,,,118.1116121919,24.4848280682,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,梦之岛主题公园,
298,厦门安哥拉巨兔主题馆,0,0.0,,,118.0889351343,24.4604041864,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,厦门安哥拉巨兔主题馆,
299,小池塘艺术馆(大唐校区),0,0.0,,,118.1122893849,24.5927323445,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,小池塘艺术馆大唐校区,
300,盘古博物馆,0,0.0,,,118.0793870181,24.450110677,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,盘古博物馆,
301,嵩屿码头,0,90.0,,,118.0523446891,24.4598743129,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,嵩屿码头,
302,科德航空研学基地,0,0.0,,,118.154259,24.551139,1,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,科德航空研学基地,
303,文笔塔公园,0,0.0,,,118.1676733876,24.7330057719,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,文笔塔公园,
304,厦门天山泉温泉度假山庄,0,80.0,,,118.1125308007,24.4637370793,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,厦门天山泉温泉度假山庄,
305,大曦山薰衣草主题公园,0,0.0,,,117.9427863112,24.5845424062,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,大曦山薰衣草主题公园,
306,美峰生态公园,0,0.0,,,118.1385779235,24.6230695034,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,美峰生态公园,
307,马垅社,0,0.0,,,118.1233228412,24.5192058687,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,马垅社,
308,鱼乐圈,0,0.0,,,118.1145173402,24.4973910527,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,鱼乐圈,
309,斑鸠山公园,0,0.0,,,118.1720201412,24.4779257952,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,斑鸠山公园,
310,社会主义核心价值观主题公园,0,100.0,,,118.2475975272,24.618613636,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,社会主义核心价值观主题公园,
311,洪文老夜市,0,98.0,,,118.165293638,24.4827285059,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,洪文老夜市,
312,蚶壳井,0,0.0,,,118.091079,24.45955,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,蚶壳井,
313,画说创想艺术馆,0,0.0,,,118.149716,24.51469,0,0.0,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif,画说创想艺术馆,
