,中文名,景点排名,攻略数量,评论数量,旅游率,景区介绍,评分,地址,开放时间,门票,价格
204,厦门国际会展中心,65,3,34,0%,,4.5,厦门市思明区鼓浪屿笔山路6号,全天开放（仅限外观）,免费,
205,厦门李林烈士纪念园,66,1,1,0%,龙头山寨遗址位于思明区鼓浪屿日光岩上。日光岩古称为龙头山，又称晃岩。清顺治四年（1647），郑成功辟厦门为抗清复台基地，龙头山（即日光岩）系其建寨屯防址之一。,4.0,厦门市思明区晃岩路62号日光岩内,全天,免费,
206,欢唱量贩式KTV(湖滨中路店),47,4,35,0%,,4.6,厦门市思明区鼓浪屿晃岩路62号日光岩内,具体开放时间请咨询景区,包含在日光岩景区门票内。,
207,观彩楼,69,2,14,0%,,4.4,厦门市思明区鼓浪屿晃岩路40号,全天开放（仅限外观）,四季皆宜。,
209,古避暑洞,230,1,2,0%,厦门牛庄园区景观近八千平，集四个主题文化广场、艺术牛、水榭亭台、咖啡吧、创意牛车等景点于一体，艺术牛展览、小牛体验营，独一无二的文化艺术特色优势，已接待来自全国各地游客近百万人。,4.0,福建省厦门市洪莲路牛庄文创园（加州广场旁边）,11:30-21:30,,
896,福源宫,119,0,14,0%,,4.8,厦门市海沧区滨湖北路633号渐美,周一-周五9:00-18:00；周六、周日及节假日8:00-18:00。,15元,
897,仙岳山-土地公庙,293,1,3,0%,,4.7,后溪镇港头一里200号,全年 09:00-19:00,,
898,基督教寨上堂,295,0,11,0%,,4.7,体育路95号文化艺术中心,全年 9:00-21:00,具体收费情况以现场公示为主,
899,高林公园,303,0,3,0%,,4.7,筼筜街道西浦路53号,全年 周二-周日 10:00-21:00,具体收费情况以现场公示为主,
900,凤凰园,51,0,5,0%,,4.0,天泉西路508号,全年 9:30-23:30,具体收费情况以现场公示为主,
901,五一文化广场,31,0,9,0%,,4.2,后溪镇孙坂北路800号科技楼716室,全年 08:30-18:30,120元,
903,馨园,315,0,4,0%,,5.0,环岛路1号,全年 11:00-2:00,额外收费，具体费用请咨询景区,
904,演武池遗址,291,0,14,0%,,4.9,厦门大学翔安校区,全年 08:00-00:00,具体收费情况以现场公示为主,
905,鹭岛名山,290,0,5,0%,,4.8,鹭江厦禾路137号（近中等职业学校）,全年 全天开放,具体收费情况以现场公示为主,
906,演武公园,342,0,5,0%,,4.4,厦门市同安区城西路93号,"全年 09:00-12:00,15:00-18:00",具体收费情况以现场公示为主,
907,帆礁宫,213,0,16,0%,,4.8,滨海街道厦大学生公寓内（芙蓉隧道）,"全年 周三 08:00-14:00,18:00-22:00;全年 周一-周二,周四-周日 08:00-22:00",具体收费情况以现场公示为主,
908,鹭江社区公园,345,0,7,0%,,4.8,环城南路983号,全年 周一-周四 09:00-17:00;全年 周五 08:00-12:00;全年 周六-周日 08:00-20:00,,
909,陈化成墓,351,0,12,0%,,4.8,湖滨中路100号之1,,具体收费情况以现场公示为主,
911,嘉禾园,221,0,12,0%,,4.8,禾东路500号,,具体收费情况以现场公示为主,
912,清真寺,348,0,2,0%,,4.0,海山路91号,春季、冬季 周一至周五 08:00-11:30 14:30-17:30 夏季、秋季 周一至周五 08:00-1...,具体收费情况以现场公示为主,
913,朝天宫,350,0,13,0%,,4.6,滨湖北路15号区文化中心2号楼1层,全年 08:30-18:00,具体收费情况以现场公示为主,
914,厦门雪峰寺,351,0,7,0%,,4.7,思明南路422号,,具体收费情况以现场公示为主,
915,顺济宫,209,0,6,0%,,4.0,福建省厦门市翔安区顶曾路360号a区,全年 08:00-17:30,具体收费情况以现场公示为主,
916,鸽子广场,362,0,3,0%,,4.4,新兴路与朝新路交叉口北150米,,具体收费情况以现场公示为主,
918,城隍庙,188,0,4,0%,,4.7,侨英街道集美大道668号华侨大学厦门校区,全年 07:00-22:30,具体收费情况以现场公示为主,
919,慈济圣宫,352,0,10,0%,,4.9,文康路289号,"全年 周五 08:00-12:00;全年 周一-周四 12:00-18:00;全年 周六-周日 08:00-12:00,14:30-17:30",,
920,池王宫,353,0,9,0%,,4.9,建南路1号2层,全年 周一-周四 09:00-18:00;全年 周日 09:00-20:30,具体收费情况以现场公示为主,
921,拱莲古寺,354,0,2,0%,,5.0,文教区天马路288号厦门华厦学院(近学院路),,具体收费情况以现场公示为主,
922,芦山堂,355,0,8,0%,,4.6,厦门市集美区诚毅大街1号,,,
923,东山古庙,289,1,1,0%,,5.0,昌海路莲塘别墅,,具体收费情况以现场公示为主,
925,葫芦山烈士陵园,357,0,6,0%,,4.5,集美新城西亭中心区内市民广场,,具体收费情况以现场公示为主,
926,西山岩寺,287,1,12,0%,,4.6,银江路集美万达广场,全年 全天开放,具体收费情况以现场公示为主,
927,东岳行宫,360,0,3,0%,,4.3,滨湖北路,全年 09:00-21:00,,
928,宅内古榕公园,361,0,1,0%,,4.3,莲花镇军营村,全年 全天开放,具体收费情况以现场公示为主,
929,月美池公园,362,0,1,0%,,4.0,厦门市同安区莲花镇西北部,,,
930,大明寺,363,0,2,0%,,5.0,新村中路187号,全年 全天开放,具体收费情况以现场公示为主,
932,铁炉宫,217,0,1,0%,,4.3,海景南二路41号,,具体收费情况以现场公示为主,
933,复兴宫,286,0,1,0%,,5.0,厦门市思明区大元路22号,,具体收费情况以现场公示为主,
934,古榕公园,368,0,29,0%,,4.7,前埔中二路838-840号(亿中信大厦与明发戴斯酒店中间道路进入),,具体收费情况以现场公示为主,
935,金嶝回归寺,369,0,23,0%,,4.7,后埭溪路140号,全年 08:00-18:30,具体收费情况以现场公示为主,
936,仙岳山福德正神庙,285,0,2,0%,,4.7,文化艺术中心95号,,,
937,崇仙宫,370,1,22,0%,,4.7,厦门市思明区斗西路与湖滨南路交叉路口往西北约60米,,具体收费情况以现场公示为主,
938,宝海堂,371,0,19,0%,,4.7,嵩屿街道东屿北路附近,,具体收费情况以现场公示为主,
939,第一码头,284,1,16,0%,,4.7,公交开禾路口站(近八市),,具体收费情况以现场公示为主,
941,福海宫,218,3,21,0%,,4.7,湖里街道华昌路132号,,,
942,蔡复一故居,373,0,8,0%,,5.0,博物馆站,10：00——14：30 每周一休息,具体收费情况以现场公示为主,
943,天竺岩寺,374,0,9,0%,,4.3,会展中心公交总站旁,全年 9:00-22:00,,
945,牛头山,379,0,17,0%,,4.5,厦门市思明区前埔东路28号思明文体楼6层(思明党校),,具体收费情况以现场公示为主,
946,芸溪居住公园,52,1,41,0%,,4.7,厦门市湖里区长乐路350号,全年 10:00-22:00,,
949,薛岭山公园,54,0,16,0%,,4.8,公园东路与白鹤路交叉口西100米(中山公园里),全年 08:00-17:30,,
950,仙洞山,187,0,5,0%,,4.8,中华街道新华路43号东侧,,,
951,乌营寨山,383,0,8,0%,,4.8,厦门市集美区浔江路8号,,,
952,太清宫,384,0,12,0%,,4.3,南普陀寺景区内,,,
955,三秀山,387,0,0,0%,,0.0,环岛南路黄厝34号之一,全年 09:00-17:00,具体收费情况以现场公示为主,
956,芹山,388,0,8,0%,,4.8,中山公园内,全年 8:00-18:00,具体收费情况以现场公示为主,
957,南堤公园,389,0,1,0%,,4.5,汀溪镇(山语听溪别墅),,,
959,妙清寺,65,0,50,0%,,4.8,思明南路422号,全年 全天开放,,338.0
960,基督教,390,0,0,0%,,0.0,祥滨路交接处(禾祥西麦当劳旁),,具体收费情况以现场公示为主,
961,后厝山,99,0,1,0%,,4.7,大学路178号(近厦大),全年 15:00-17:00,具体收费情况以现场公示为主,
962,鬼仔坑水库,392,0,13,0%,,4.8,新丰路208号,全年 全天开放,具体收费情况以现场公示为主,
963,归来园,393,0,8,0%,,4.4,厦禾路与公园东路交叉路口(二市BRT站),全年 全天开放,具体收费情况以现场公示为主,
964,厦门东坪山旅游度假区,394,0,2,0%,,5.0,鼓浪屿轮渡旁,,,
965,东芳山,395,0,8,0%,,4.7,前埔临海环岛路内侧国际会展中心(环岛路),,40元,
966,大溪山,396,0,0,0%,,0.0,厦门市思明区体育路95号文化艺术中心图书馆一楼展厅,,具体收费情况以现场公示为主,
967,锄山,186,0,4,0%,,5.0,中山路中华城2F(赛博数码2楼),,具体收费情况以现场公示为主,
968,厦门市第二中学鼓浪屿校区,279,0,0,0%,,0.0,孙板南路(杏林湾路),,具体收费情况以现场公示为主,
969,厦大一条街,403,0,5,0%,,4.5,灌口镇凤山庙路与景湖南路交叉口东北50米,,具体收费情况以现场公示为主,
970,集美游览区,404,1,1,0%,,5.0,翔安隧道西50米,,具体收费情况以现场公示为主,
971,莲花山,405,0,1,0%,,5.0,思明西路64号,,具体收费情况以现场公示为主,
972,嵩屿电厂,406,0,12,0%,,4.9,银湖路与银湖路交叉口附近,,具体收费情况以现场公示为主,
973,海下隧道,407,0,4,0%,,4.8,鳌园路27号之1,,具体收费情况以现场公示为主,
974,翔安古宅,408,0,27,0%,,4.7,香山路(靠近陈坂村大宅村),,具体收费情况以现场公示为主,
975,海沧儿童公园蝴蝶生态园,409,0,1,0%,,0.0,环城南路989号,"夏令 周三至周日 上午场 09:00-12:00，12:00停止入场,夏令 周三至周日 下午场 14:30-18:00，18:00停止入场,夏令 周一至周二 全天 固定闭馆,冬令 周三至周日 上午场 09:00-12:00，12:00停止入场,冬令 周三至周日 下午场 13:30-17:30，17:30停止入场,冬令 周一至周二 全天 固定闭馆",,
976,港头公益图书馆,410,1,13,0%,,4.6,思明南路515号(近厦门大学)南普陀寺内,,具体收费情况以现场公示为主,
977,厦门工人文化宫,411,0,7,0%,,4.9,祥平街道环城南路文体中心附近,,,
978,长颈鹿书房,278,0,10,0%,,4.8,嘉禾路312号,,,
979,厦门电影制片厂,412,0,1,0%,,5.0,虎园路16号,全年 09:30-22:00,具体收费情况以现场公示为主,
980,老院子民俗文化风情园景区,413,0,3,0%,,4.8,公园西路15号,,具体收费情况以现场公示为主,
981,五缘湾百舸水上运动俱乐部,414,0,2,0%,,4.7,体育路95号,,具体收费情况以现场公示为主,
982,尚悠海陆空俱乐部,415,0,4,0%,,4.8,镇海路28号,全年 09:30-21:00,具体收费情况以现场公示为主,
1150,平潭岛,2,19,747,4%,福建第一大岛，有三大海滨沙滩，保留着原始海岛风貌。,4.5,福建省福州市平潭县,全天开放,免费,21.0
1151,三坊七巷,1,76,4626,51%,白墙灰瓦，木质房屋，感受南方细腻的手工艺，来此看一下名人故里，吃吃特色小食。,4.5,福州市鼓楼区三坊七巷,全天开放，其中商铺开放时间各不相同。,30元/人，部分景点收取门票或提供联票,
1152,龙凤头海滨浴场,298,3,191,0%,全国最大的海滨浴场之一，白沙碧海，是喜欢游泳的游客不可不去的一处胜地。,4.5,福州市平潭县坛西大道龙凤头海滨公园向北250米,全年 全天开放,免费,
1153,飞云峡,327,0,22,0%,,3.7,福州市寿山乡岭头村,8:00-17:00，16:00停止入场。,25元,9.9
1156,福州国家森林公园,6,6,643,6%,环境清幽的森林公园，是休闲锻炼的好去处。,4.6,福州市晋安区新店镇上赤桥,全年 08:00-16:30,具体收费情况以现场公示为主,1.6
1157,坛南湾,306,9,126,1%,坛南湾东临大海，滩面平缓，细沙如银，有&quot;坛南银滩&quot;之称，是福州绝美佳景。,4.4,福州市平潭县环岛东路,全天开放,免费,
1158,海坛古城,38,10,565,1%,畅玩主题乐园，探秘充满海上奇闻怪事的古街，共享一场闽海风情的声光盛宴。,4.2,福州市平潭县综合实验区环岛东路与翠园南路交汇处,1/1-6/30 全天开放 ;7/1-8/31 09:30-18:00;9/1-12/31 全天开放,免费,35.0
1159,鼓山,8,11,968,17%,福州知名景点，是个爬山锻炼身体的好地方，山上的千年古刹涌泉寺香火旺盛。,4.5,福州市晋安区鼓山镇鼓山风景区,全年 全天开放,具体收费情况以现场公示为主,
1160,上下杭,7,5,133,0%,,4.6,福建省福州市台江区苍霞上下杭(下杭路北),全年 全天开放,具体收费情况以现场公示为主,
1164,鼓岭旅游度假区,20,4,132,1%,鼓岭风景宜人，从近代至今都是福州著名的夏天避暑场所。,4.6,福州市晋安区宦溪镇鼓岭宜夏村鼓宦公路与192县道交叉口北150米,全年 08:00-21:00,具体收费情况以现场公示为主,
1166,中国船政文化景区,189,0,35,0%,,4.3,福州市区马尾区港口路83号罗星塔公园内,全年 全天开放,,
1167,石竹山风景区,2,1,262,0%,欣赏明媚秀丽山水，体验道教经典文化。,4.5,福清市宏路镇石竹山风景区,全年 06:30-17:30,25元,6.0
1169,于山,22,6,638,11%,环境舒适宜人，白塔是福州的标志之一，还能去戚公祠瞻仰抗击倭寇的民族英雄戚继光。,4.5,福州市鼓楼区于山路,全年 全天开放,免费,6.0
1172,大姆山草场,12,1,20,0%,,4.0,福州市福清市近郊南岭镇东北,全年 全天开放,免费开放,
1173,云顶天池,21,1,15,0%,,4.4,福建省福州市永泰县云山村,全年 8:30-17:00,190元,178.0
1174,东甲岛,5,1,18,100%,,4.7,福州市平潭县海坛岛南部，距草屿约9公里。,全年 8:00-17:00,具体收费情况以现场公示为主,
1175,西禅寺,15,4,247,10%,西禅寺名列福州五大禅林之一，香火很旺，寺里还有千年荔枝树。,4.6,福州市鼓楼区工业路455号,全年 7:00-18:00,具体收费情况以现场公示为主,0.8
1176,永泰天门山生态旅游风景区,4,1,165,0%,,4.2,福州市永泰县葛岭镇溪洋村,9:00-18:00；节假日正常开放；信息仅供参考，具体开放时间以景区当天披露为准。,35元,98.0
1177,泛船浦天主教堂,34,1,41,0%,作为福建最大的教堂，独具哥特式建筑，每日可参加教堂礼拜。,4.6,福州市仓山区朝阳路新民街54号,全年 周一-周五 09:00-18:00,具体收费情况以现场公示为主,
1178,猴研岛,8,6,28,0%,,4.5,福州市平潭县澳前镇东澳村梦山猴研岛,全年 08:30-18:00,,30.0
1179,嵩口古镇,2,6,55,1%,,4.3,福州市永泰县嵩口镇,全年 全天开放,具体收费情况以现场公示为主,
1180,十八重溪,6,1,38,0%,,4.0,福州市闽侯县南通镇福秀路,全年 全天开放,具体收费情况以现场公示为主,
1181,福州云顶,5,1,989,0%,坐山崖峡谷观光索道，观峡谷风貌与瀑布流水，理想的避暑游览胜地。,4.5,福州市永泰县青云山顶,2月1日-10月31日8:00-17:00；11月1日-次年1月31日8:00-16:00；节假日正常开放；信息仅供参考，具体开放时间以景区当天披露为准。,190元,157.0
1182,罗源湾海洋世界,3,0,581,0%,福建省大型海洋馆，300多种海洋生物，是孩子们亲近海洋、拓宽视野的天堂。,4.5,福州市罗源县罗源湾开发区江滨南路1号,8/1-8/31 09:00-17:00,成人价180元，优惠价120,
1185,皇帝洞生态旅游景区,328,1,37,0%,,4.3,福州市晋安区日溪乡梓山村,04/22-12/31 08:30-17:30,198元,30.0
1186,奇达村,17,1,11,0%,,4.5,福州市连江县安凯乡凤下尾角,全年 全天开放,,
1187,金山寺,23,1,69,1%,闽江的一个著名景点，著名的金山寺八景也出于此。,4.5,福州市仓山区西三环路,全年 8:00-17:00,具体收费情况以现场公示为主,
1188,东海仙境,26,5,86,0%,,4.1,福州市平潭县流水镇东美村王爷山南麓,全年 9:00-18:00,具体收费情况以现场公示为主,
1189,九峰村,19,3,96,0%,这里是动物的天堂，因地制宜的分区展馆，使人更直观地游览。,4.3,福州市晋安区新店镇新园路100号,全年 08:00-18:00,30元,198.0
1190,福州动物园,41,1,22,0%,,3.9,福州市平潭综合实验区龙凤头海滨浴场平潭沙雕园,景区暂时停业，详情请以景区公示为准。原开放时间9月1日-次年7月14日9:00-22:00（19:30停止入场）；7月15日-8月31日9:00-21:00。,具体收费情况以现场公示为主,
1191,平潭沙雕园,15,0,10,0%,,4.8,福州市福清市东张镇三星村灵石山国家森林公园内,全年 7:30-18:30,,
1192,龙潭山水风景区,269,5,3,0%,位于北部的长江澳风力田，不仅提供了最洁净的能源，也是摄影爱好者们眼里的绝佳景致。,4.0,福建省福州市平潭县平原镇上攀村(近十八楼),全天,免费,
1193,长江澳风车田,18,12,274,12%,参观著名的乌塔，观摩福州现存最古老的石刻“般若台”，是个安静闲适的小憩之地。,4.5,福州市鼓楼区乌山路,全年 全天开放,免费,
1195,渔夫岛风景区,183,2,39,0%,,4.5,福州市仓山区梅坞路14号,全年 全天开放,具体收费情况以现场公示为主,
1196,烟台山公园,24,10,290,17%,全国最大的林则徐纪念馆，古典园林式祠堂建筑，可以看到各种有关林则徐的资料展示。,4.7,福州市鼓楼区澳门路16号,8:30-17:00 (16:30停止入场),凭借身份证或其他有效证件进行登记后，领取免费参观券。,
1197,林则徐纪念馆,3,2,107,0%,穿越惊险石廊，观赏各型瀑布，享受理想的避暑游览胜地。,4.5,福州市永泰县城10多公里的岭路乡,8:00-16:30，15:00停止入场。,27元,32.0
1198,青云山,115,1,67,6%,白塔为福建省文物保护单位，历史悠久。,4.4,福州市鼓楼区于山路于山风景区定光塔寺内,全年 8:00-17:00,具体收费情况以现场公示为主,
1200,芦际潭森林公园,87,2,3,0%,闽安是中国东南沿海著名的千年古镇，位于福建省福州市马尾区。公元893年，唐朝已在闽安设巡检司衙门，宋代时列福建四大名镇之首，元明清时沿袭为军事与海上贸易重镇，也是千年来兵家必争之地和古战场，保存有大量唐、宋、元、明、清文物古迹。,4.7,福州市马尾区	,,,
1201,闽安古镇,42,3,16,0%,,4.5,福州市仓山区乐群路,全年 全天开放,免费,
1202,仓山旧领事馆区遗址,319,7,77,0%,,4.3,福州市平潭县流水镇东美村东海仙境景区内,8:00-17:00,25元,21.0
1203,仙人井,12,14,229,13%,福州城内“三坊七巷”的中轴，古色古香，另有名人故居，是传统与现代相结合的休闲文化商业街。,4.6,福州市鼓楼区杨桥东路与达明路交叉口南50米,全年 全天开放,免费,
1204,南后街,105,3,103,4%,是福州现存最古老的佛寺之一，内有许多珍贵文物。,4.5,福州市鼓楼区开元路78号,全年 07:00-17:30,具体收费情况以现场公示为主,
1211,福州儿童公园,177,1,5,0%,,4.8,福州市晋安区鼓山西北风池山西侧凤池白云洞景区,全年 全天开放,,
1212,永泰大樟溪,7,3,31,0%,,4.5,福州市平潭县敖东镇青观顶村平潭海坛国家风景名胜区青观顶片区,6月1日-9月30日8:00-18:00，17:00停止进入；10月1日-次年5月31日8:00-17:30，16:30停止进入。,10元,18.9
1213,白云洞,2,0,23,0%,,4.1,福州市罗源县近郊霍口畲族乡冈尾村,全年 08:30-17:00,40元,36.0
1214,将军山,19,1,23,0%,,4.1,福州市福清市东张镇三星村内,7:30-18:30，节假日正常开放；信息仅供参考，具体开放时间以景区披露为准。,15元,0.9
1215,畲山水景区,20,0,15,0%,,4.1,福州市永泰县青云山风景区内,1/1-12/31 08:00-17:00,15元,
1216,灵石山国家森林公园,21,0,12,0%,,4.6,福州市福清市渔溪镇，再向西北10公里联华村黄檗山,全年 8:00-17:30,具体收费情况以现场公示为主,
1218,万福寺,93,1,2,0%,康山里是一条小巷，当地有12座别具一格的花园式洋房，颇具诗意。,0.0,福建省福州市仓山区,全天,免费,
1220,康山里,52,1,80,0%,是福建省重点建设3所高水平大学之一，校内风景优美。,4.8,福州市仓山区上下店路15号,疫情期间不对外开放；非疫情期间全天开放。,疫情期间不对外开放；非疫情期间免费开放。,
1221,长乐海西动漫之都,8,1,74,0%,绝美的岭南风光，在森林氧吧中悠闲漫步，登山访古。,4.3,福州市闽侯县南屿镇双峰村,全年 09:00-17:00,具体收费情况以现场公示为主,
1224,大目埕村,47,1,56,0%,,4.6,福州市鼓楼区福飞南路139号屏山公园内,9:00-17:00（16:00停止入场）。,具体收费情况以现场公示为主,
1232,后沙海滩,10,0,4,0%,,4.3,福州市福清市东张镇三星村灵石山国家森林公园内,全年 7:30-18:30,,
1233,沙滩公园,18,1,81,0%,,4.5,福州市永泰县梧桐镇大胃口往前1公里,8:30-16:30；节假日正常开放；信息仅供参考，具体开放时间以景区当天披露为准。,40元,36.0
1234,中洲岛,20,1,11,0%,,4.3,福州市闽侯县大湖乡雪峰村,全年 全天开放,具体收费情况以现场公示为主,
1235,灵石寺,222,5,56,0%,作为我国近代工业的摇篮和海军发源地，具有非常重大的历史意义。,4.6,福州市马尾区马尾镇,全年 全天开放,具体收费情况以现场公示为主,
1236,百漈沟景区,307,3,39,0%,,4.3,福州市平潭县塘屿岛,全年 全天开放,10元,
1238,马尾,27,7,171,11%,一座规模较大的综合性博物馆，馆内展品极具福建特色。,4.4,福州市鼓楼区湖头街96号,周二-周日9:00-17:00，16:00停止进场；周一闭馆整修，如遇特殊情况闭馆，则另行公告。,免费,
1239,塘屿岛,108,4,88,6%,福州市鼓山涌泉寺为“闽刹之冠”，又是全国重点寺庙之一。,4.4,福州市晋安区鼓山上,全年 7:00-17:30,40元,
1240,石牌洋景区,32,3,64,0%,,4.4,福州市晋安区文博路8号,全年 周二-周日 09:00-17:00,免费,
1241,福建博物院,4,1,119,0%,,4.2,福州市鼓楼区铜盘路29号（左海公园内）,8/4-08/31 08:30-17:00;09/01-06/30 08:30-17:00,80元,90.0
1242,鼓山涌泉寺,4,1,25,0%,,4.3,福州市闽清县坂东镇新壶村,全年 08:00-17:00,25元,47.0
1243,福州市博物馆,1,1,14,0%,,4.3,福州市福清市海口镇牛宅村,全年 7:30-18:30,具体收费情况以现场公示为主,
1244,左海海底世界,3,1,32,0%,,4.6,福州市连江县贵安新天地世纪金源大道,5月1日-10月31日：周一-周五10:00-18:00，周六、周日9:00-18:00；11月1日-次年4月30日：周一-周日 10:00-17:00。具体开放时间详见景区公示。,100元,
1255,晋安河公园,12,1,14,0%,,4.6,福州市连江县,全年 全天开放,具体收费情况以现场公示为主,
1256,达明美食街,10,1,5,0%,,4.1,福州市永泰县葛岭镇葛岭村山腰,全年 7:00-18:30,具体收费情况以现场公示为主,
1257,黄岐镇,179,0,16,0%,,4.3,福州市马尾区登龙路与文体路交叉口,全年 全天开放,具体收费情况以现场公示为主,
1258,马厂街基督教堂,20,0,25,0%,,4.3,福州市福清市沙埔镇南部的一个滨海小岛，与牛头尾隔海相望,全年 全天开放,具体收费情况以现场公示为主,
1259,龙门峡谷景区,223,1,72,0%,福州三山之一，风景如画。,4.5,福州市鼓楼区福飞南路139号,全年 8:30-22:00,具体收费情况以现场公示为主,
1260,北茭村,39,1,23,0%,这是一个传统的小渔村，背山面海，配以碧蓝的海水，层次分明的花田，宛如一幅素雅的水墨画。,4.5,福建省福州市平潭县北港村,全天开放,,190.0
1262,天马山公园,85,2,62,0%,师范类大学，为福建省重点建设三所高水平大学之一，校内风景优美。,4.4,福州市仓山区上三路8号福建师范大学仓山校区,全天开放，疫情期间禁止校外人员入内。,疫情期间禁止校外人员入内。,
1263,目屿岛,104,3,38,0%,是中国第一个以船政为主题的博物馆，弘扬文化，具有历史意义。,4.4,福州市马尾区昭忠路7号,全年 周二-周日 09:00-17:00;全年 周一 全天不开放,凭有效证件领票免费参观。,
1264,屏山公园,109,3,73,2%,三坊七巷之一。,4.5,"福州市鼓楼区三坊七巷区域,西接通湖路，东连吉庇巷。",全年 全天开放,免费,
1265,北港村石头厝,83,2,109,2%,到著名的水榭戏台，听听古典特色的闽南曲艺。,4.5,福州市鼓楼区三坊七巷区域内,全天开放,公交：福州市区乘坐54路、70路车到“衣锦坊”站下车，步行1分钟可达<br />,
1266,晦翁岩龙峰寺,113,2,70,1%,,4.6,福州市鼓楼区三坊七巷区域内，郎官巷以南，西通南后街。,全天开放,,
1267,福建师范大学,51,1,45,2%,福州华林寺是全国重点文物保护单位，我国长江以南最古老的木建筑寺院，具有历史纪念意义。,4.3,华林路78号,9:00-17:00，周一闭馆。,具体收费情况以现场公示为主,
1268,中国船政文化博物馆,117,3,125,5%,具有其独特的闽江流域文化特色和榕城风情，是市民和游客游憩、休闲活动的公共绿地。,4.7,福州市台江区西江滨大道1号,全年 全天开放,具体收费情况以现场公示为主,
1269,光禄坊,118,1,1,0%,"方圆五平方公里洞瀑联缀的百祭沟景区，位于福州市永泰县城西四十一公里处，与花岗岩鼓石堆叠如陈、洞径犬牙交错的玉石岭景区隔溪相望。
若说百祭沟，民间早有传说：世人如为柴米油盐谋续，或为单身寻偶，或为商场问利，或为仕途求，只要站在百祭沟…",4.0,福建福州永泰县城西四十一公里处,,,
1270,衣锦坊,23,2,80,0%,榕城古街是一条古色古香的美食街，展示福州灿烂的榕城美食文化和地方民俗特色。,4.1,福州市台江区环河路61号,全年 全天开放,具体收费情况以现场公示为主,
1271,塔巷,3,0,26,0%,,3.9,福州市闽侯县白沙镇白沙湾,9:00-17:00,具体收费情况以现场公示为主,
1272,华林寺,5,1,36,0%,,4.5,福州市永泰县岭路乡青云山,8:30-16:00,35元,
1273,江滨公园,65,2,14,0%,,4.7,琯尾街195号,,具体收费情况以现场公示为主,
1274,百祭沟,36,1,92,0%,,4.4,福州市鼓楼区西洪路598号,全年 全天开放,具体收费情况以现场公示为主,
1275,榕城古街,136,2,6,0%,,4.0,福州市晋安区莲花峰路4号,全年 8:00-18:00,具体收费情况以现场公示为主,
1276,军博园,5,1,88,0%,,4.2,福州市长乐漳港镇仙岐村,7:00-17:00,25元,2.5
1277,青龙瀑布,138,1,24,0%,,4.5,湖头街96号,全年 周一 全天不开放 ;全年 周二-周日 10:00-17:00,美术馆是免费开放的，馆内的部分展览会收费的。,
1278,地藏寺,140,1,129,0%,闽江两岸风景优美，其中解放大桥和三县洲大桥的景观比较好。,4.6,福州市马尾区闽江(江滨东大道南400米),全年 全天开放,,
1310,永泰大樟溪蹦极,103,0,2,0%,,3.4,福州市晋安区宦溪镇鹅鼻村,全年 09:30-17:30,,6.0
1311,芹壁村,2,0,2,0%,,4.5,福州市平潭县中楼镇韩厝村,全年 全天开放,具体收费情况以现场公示为主,
1312,苔菉镇,155,1,5,0%,,4.5,赤星村,7:00-16:00，有时延至17:00。,具体收费情况以现场公示为主,
1313,海坛镇总兵署,15,0,10,0%,,4.8,福州市连江县,全年 全天开放,,
1314,罗源湾白鲸馆,14,1,11,0%,,4.6,福州市福清市龙田镇西南约五华里的福庐山上（福庐北路）,全年 8:00-17:30,具体收费情况以现场公示为主,
1315,牛头寨,18,0,10,0%,,3.9,漳港镇仙岐村,全年 7:00-17:00,包含在显应宫门票内,
1316,梅瓷纪念馆,19,1,36,0%,,4.5,吴航街道南山南路与鳌山路交叉口南50米,全年 全天开放,具体收费情况以现场公示为主,
1317,琅岐大桥,28,1,16,0%,,4.3,福州市马尾区琅岐镇,全年 全天开放,具体收费情况以现场公示为主,
1318,快乐园,21,0,1,0%,,0.0,福州市长乐市古槐镇董奉山国家森林公园董奉山中心景区内,全年 全天开放,具体收费情况以现场公示为主,
1319,金岚山,26,0,4,0%,,4.2,福州市长乐区漳港镇锦绣路南段,全年 全天开放,具体收费情况以现场公示为主,
1320,升山寺,184,0,27,0%,,4.3,芳沁路,9:00-17:00，16:00停止进场，周一闭馆整修。,具体收费情况以现场公示为主,
1321,黄歧半岛,70,0,4,0%,,4.4,福州市晋安区宦溪镇创新村,10:00-16:30,60元,70.0
1322,福庐寺,8,0,25,0%,,4.3,福州市闽清县三溪乡山墩村58号,全年 全天开放,具体收费情况以现场公示为主,
1323,显应宫泥塑像,198,0,3,0%,,5.0,福州市马尾区亭江镇白眉溪中游白眉村,全年 全天开放,,
1324,长乐南山公园,11,2,29,0%,,4.4,福州市平潭县南海乡塘屿南中村南海中,全年 9:00-18:00,40元,30.0
1325,琅岐岛,19,0,19,0%,,3.9,福州市永泰县岭路乡青云山白马峡谷景区,9:00-16:00,35元,32.0
1328,自然馆,69,0,79,0%,,4.4,金山街道江滨大道1号,全年 全天开放,具体收费情况以现场公示为主,
1330,闽清白岩山,4,0,17,0%,,4.1,福州市连江县晓澳镇道澳村,01/01-12/31 09:00-21:00,128元,388.0
1331,白眉水库,273,1,1,0%,白鸽楼前身为塔亭医院附属护士学校，建于30-40年代；陈为信医师亲自参与了该楼的建设。,0.0,福州市公园西路2号 ,全天,免费,
