,Unnamed: 0,景点名称,攻略数量,评分,景区介绍,景点排名,经度,纬度,评论数量,旅游率,中文名,英文名,属地
385,385,Hong ham promenadeHong ham promenade,0,0.0,,,114.1991846554,22.3032743297,0,0.0,,HonghampromenadeHonghampromenade,香港
386,386,红磡街市,0,100.0,,,114.1986324941,22.310183195,0,0.0,红磡街市,,香港
387,387,励德邨Lai Tak Tsuen,0,0.0,,,114.2058479999,22.2809597608,0,0.0,励德邨,LaiTakTsuen,香港
388,388,Hong Ning Road PlaygroundHong Ning Road Playground,0,0.0,,,114.2347812523,22.3206700766,0,0.0,,HongNingRoadPlaygroundHongNingRoadPlayground,香港
389,389,香港国际机场古物园Hong Kong International Airport Historical Garden,0,0.0,,,113.9454811101,22.2987520529,0,0.0,香港国际机场古物园,HongKongInternationalAirportHistoricalGarden,香港
390,390,告士打道花园,0,80.0,,,114.1839632339,22.2826263576,0,0.0,告士打道花园,,香港
391,391,长康邨1期公园,0,0.0,,,114.1171710884,22.3531214239,0,0.0,长康邨期公园,,香港
392,392,海心公园,0,0.0,,,114.2030945612,22.3180217968,0,0.0,海心公园,,香港
393,393,鲗鱼涌公园一期Quarry Bay Park Phase 1,0,0.0,,,114.2267493735,22.2917795474,0,0.0,鲗鱼涌公园一期,QuarryBayParkPhase,香港
394,394,翠田街足球场,0,0.0,,,114.1937459962,22.3759611967,0,0.0,翠田街足球场,,香港
395,395,蓝田公园Lam Tin Park,0,0.0,,,114.251771829,22.3141489666,0,0.0,蓝田公园,LamTinPark,香港
396,396,樱桃街公园Cherry Street Park,0,0.0,,,114.1777563504,22.3185788955,0,0.0,樱桃街公园,CherryStreetPark,香港
397,397,维多利亚公园足球场Victoria Park Football Field,0,0.0,,,114.2003470412,22.2840430466,0,0.0,维多利亚公园足球场,VictoriaParkFootballField,香港
398,398,湾仔临时海滨花园Wan Chai Temporary Promenade,0,0.0,,,114.1843819086,22.2876567575,0,0.0,湾仔临时海滨花园,WanChaiTemporaryPromenade,香港
399,399,东南径,0,0.0,,,114.1786390606,22.3053080494,0,0.0,东南径,,香港
400,400,康乐花园,0,0.0,,,114.1581737197,22.4675057645,0,0.0,康乐花园,,香港
401,401,天秀路公园,0,0.0,,,114.0129901001,22.4694938053,0,0.0,天秀路公园,,香港
402,402,汇星Star Hall - EMAX,0,0.0,,,114.2150531377,22.32695212,0,0.0,汇星,StarHallEMAX,香港
403,403,文东路公园,0,0.0,,,113.9523455343,22.2945938614,0,0.0,文东路公园,,香港
404,404,斧山公园Hammer Hill Park,0,80.0,,,114.2172655841,22.3429724832,0,0.0,斧山公园,HammerHillPark,香港
405,405,K11 ATELIER(King's Road)K11 ATELIER(King's Road),0,0.0,,,114.2188560029,22.2947657535,0,0.0,,KATELIERKingsRoadKATELIERKingsRoad,香港
406,406,北区公园North District Park,0,0.0,,,114.1454141882,22.5021660982,0,0.0,北区公园,NorthDistrictPark,香港
407,407,通州街公园,0,0.0,,,114.1710983502,22.3287305128,0,0.0,通州街公园,,香港
408,408,坚拿道西,0,0.0,,,114.1925471219,22.2814523806,0,0.0,坚拿道西,,香港
409,409,大环山公园Tai Wan Shan Park,0,0.0,,,114.2041761981,22.3090086465,0,0.0,大环山公园,TaiWanShanPark,香港
410,410,成业街休憇公园Shing Yip Street Rest Garden,0,0.0,,,114.2392618339,22.312623358,0,0.0,成业街休憇公园,ShingYipStreetRestGarden,香港
411,411,黄大仙文化公园,0,0.0,,,114.204715,22.340694,0,0.0,黄大仙文化公园,,香港
412,412,佐敦谷公园温室,0,0.0,,,114.2321636216,22.3338013359,0,0.0,佐敦谷公园温室,,香港
413,413,捐山窿公园,0,0.0,,,114.1459729059,22.2923697433,0,0.0,捐山窿公园,,香港
414,414,天柏路公园Tin Pak Road Park,0,0.0,,,114.0187525342,22.4606572396,0,0.0,天柏路公园,TinPakRoadPark,香港
415,415,文曲里公园,0,96.0,,,114.2719022318,22.3191007847,0,0.0,文曲里公园,,香港
416,416,广东道街区,0,70.0,,,114.1770586256,22.3053094413,0,0.0,广东道街区,,香港
417,417,望鱼角,0,0.0,,,114.3897282295,22.41349674,0,0.0,望鱼角,,香港
418,418,水池巷Tank Lane,0,0.0,,,114.1608784289,22.2874862456,0,0.0,水池巷,TankLane,香港
419,419,山光道公园Shan Kwong Road Park,0,0.0,,,114.1982968567,22.2692640965,0,0.0,山光道公园,ShanKwongRoadPark,香港
420,420,香草原,0,0.0,,,114.1319093555,22.2223475988,0,0.0,香草原,,香港
421,421,Hauser & WirthHauser & Wirth,0,0.0,,,114.1668011335,22.2861050223,0,0.0,,HauserWirthHauserWirth,香港
422,422,狮语画廊,0,0.0,,,114.2019412794,22.2907493629,0,0.0,狮语画廊,,香港
423,423,Simon Lee gallerySimon Lee Gallery,0,0.0,,,114.1685357747,22.2849482738,0,0.0,,SimonLeegallerySimonLeeGallery,香港
424,424,陶乐嘉年华,0,0.0,,,114.1241628449,22.3744201606,0,0.0,陶乐嘉年华,,香港
425,425,市区更新探知馆Urban Renewal Exploration Centre,0,0.0,,,114.1662587554,22.2877242598,0,0.0,市区更新探知馆,UrbanRenewalExplorationCentre,香港
426,426,吉卜力の动画世界,0,0.0,,,114.2215532967,22.3249897094,0,0.0,吉卜力动画世界,,香港
427,427,林边生物多样性自然教育中心,0,0.0,,,114.2227831322,22.2845591964,0,0.0,林边生物多样性自然教育中心,,香港
428,428,绿洲艺廊,0,0.0,,,114.1721514401,22.2845059113,0,0.0,绿洲艺廊,,香港
429,429,Pearl Lam GalleriesPearl Lam Galleries,0,0.0,,,114.1666354966,22.2863915418,0,0.0,,PearlLamGalleriesPearlLamGalleries,香港
430,430,Odd One OutODD ONE OUT,0,0.0,,,114.1809624649,22.2788705977,0,0.0,,OddOneOutODDONEOUT,香港
431,431,星光影廊Starry Gallery,0,0.0,,,114.184246,22.297505,0,0.0,星光影廊,StarryGallery,香港
432,432,花炮展览馆,0,0.0,,,113.98167514,22.3938914367,0,0.0,花炮展览馆,,香港
433,433,石馆Rockery,0,0.0,,,114.2164054196,22.3426639668,0,0.0,石馆,Rockery,香港
434,434,香港浸会大学孔宪绍博士伉俪中医药博物馆Hong Kong Baptist University Dr. & Mrs. Hung Hin Shiu Museum of Chinese Medicine,0,80.0,,,114.194128,22.338682,0,0.0,香港浸会大学孔宪绍博士伉俪中医药博物馆,HongKongBaptistUniversityDrMrsHungHinShiuMuseumofChineseMedicine,香港
435,435,走马灯,0,0.0,,,114.1841106191,22.3278127317,0,0.0,走马灯,,香港
436,436,香港巧克力艺术坊,0,0.0,,,113.9094363026,22.2621794588,0,0.0,香港巧克力艺术坊,,香港
437,437,少林武术文化中心Hong Kong Shaolin Wushu Culture Centre,0,80.0,,,113.8685155754,22.2600090557,0,0.0,少林武术文化中心,HongKongShaolinWushuCultureCentre,香港
438,438,Space 27Space 27,0,0.0,,,114.2192273974,22.2950647718,0,0.0,,SpaceSpace,香港
439,439,昂坪自然中心,0,0.0,,,113.9145388989,22.2589107661,0,0.0,昂坪自然中心,,香港
440,440,世界画廊,0,0.0,,,114.1683995877,22.2829335012,0,0.0,世界画廊,,香港
441,441,Foon Art CentreFoon Art Centre,0,0.0,,,114.1278790021,22.3774633708,0,0.0,,FoonArtCentreFoonArtCentre,香港
442,442,油街实现Oi! building,0,80.0,,,114.20438,22.291813,0,0.0,油街实现,Oibuilding,香港
443,443,城大图书馆,0,0.0,,,114.1855786703,22.3391794295,0,0.0,城大图书馆,,香港
444,444,艺境,0,0.0,,,114.1893894512,22.2803255636,0,0.0,艺境,,香港
445,445,李小龙纪念馆,0,0.0,,,114.1933306942,22.3294794583,0,0.0,李小龙纪念馆,,香港
446,446,环保轩,0,80.0,,,114.1847663511,22.2772177881,0,0.0,环保轩,,香港
447,447,歌德学院德国文化中心,0,0.0,,,114.182397,22.283251,0,0.0,歌德学院德国文化中心,,香港
448,448,艺术门画廊,0,0.0,,,114.1685107095,22.2849386376,0,0.0,艺术门画廊,,香港
449,449,搞错3D艺趣坊,0,0.0,,,114.1615619936,22.2744357924,0,0.0,搞错艺趣坊,D,香港
450,450,Contemporary By Angela LiContemporary by Angela Li,0,0.0,,,114.1586625578,22.289275544,0,0.0,,ContemporaryByAngelaLiContemporarybyAngelaLi,香港
451,451,陶园画坊,0,0.0,,,114.1229340789,22.2287938445,0,0.0,陶园画坊,,香港
452,452,季丰轩,0,0.0,,,114.1657275215,22.2848759079,0,0.0,季丰轩,,香港
453,453,东华三院文物馆Tung Wah Group of Hospitals Museum,0,0.0,,,114.1834218309,22.317859889,0,0.0,东华三院文物馆,TungWahGroupofHospitalsMuseum,香港
454,454,童军文物廊,0,0.0,,,114.180974,22.305535,0,0.0,童军文物廊,,香港
455,455,李兆基图书馆Lee Shau Kee Library,0,0.0,,,114.2754563015,22.3411846449,0,0.0,李兆基图书馆,LeeShauKeeLibrary,香港
456,456,李安姿当代空间,0,0.0,,,114.1586761945,22.2892852702,0,0.0,李安姿当代空间,,香港
457,457,香港大学饶宗颐学术馆,0,0.0,,,114.1494805473,22.28531013,0,0.0,香港大学饶宗颐学术馆,,香港
458,458,当代唐人艺术中心Tang Contemporary Art Hong Kong,0,80.0,,,114.1668482711,22.2861112985,0,0.0,当代唐人艺术中心,TangContemporaryArtHongKong,香港
459,459,香港2009东亚运动会展览廊,0,0.0,,,114.170821861,22.2803843355,0,0.0,香港东亚运动会展览廊,,香港
460,460,知识产权执法工作展览馆,0,0.0,,,114.2166526002,22.3297478558,0,0.0,知识产权执法工作展览馆,,香港
461,461,天然钻石体验馆(天然钻铜锣湾店),0,0.0,,,114.1938300356,22.2808313092,0,0.0,天然钻石体验馆天然钻铜锣湾店,,香港
462,462,浪涛水族馆,0,0.0,,,114.181402557,22.326147751,0,0.0,浪涛水族馆,,香港
463,463,玉桂山,0,0.0,,,114.1615498422,22.2365577425,0,0.0,玉桂山,,香港
464,464,荃湾西海滨长廊,0,0.0,,,114.1124141626,22.3737941512,0,0.0,荃湾西海滨长廊,,香港
465,465,孖岗山The Twins,0,0.0,,,114.2114191687,22.2364653441,0,0.0,孖岗山,TheTwins,香港
466,466,照镜环山,0,0.0,,,114.2612414834,22.3033980091,0,0.0,照镜环山,,香港
467,467,南朗山Brick Hill (Nam Long Shan),0,100.0,,,114.1837121109,22.2459371298,0,0.0,南朗山,BrickHillNamLongShan,香港
468,468,昂坪山,0,0.0,,,113.9502980066,22.2924350644,0,0.0,昂坪山,,香港
469,469,天水围后山,0,60.0,,,114.0058892291,22.4756147144,0,0.0,天水围后山,,香港
470,470,香港生产力促进局,0,0.0,,,114.1870980301,22.3381661027,0,0.0,香港生产力促进局,,香港
471,471,香港生产力促进局,0,0.0,,,114.1870980301,22.3381661027,0,0.0,香港生产力促进局,,香港
472,472,香港生产力促进局,0,0.0,,,114.1870980301,22.3381661027,0,0.0,香港生产力促进局,,香港
473,473,香港生产力促进局,0,0.0,,,114.1870980301,22.3381661027,0,0.0,香港生产力促进局,,香港
474,474,香港生产力促进局,0,0.0,,,114.1870980301,22.3381661027,0,0.0,香港生产力促进局,,香港
475,475,香港生产力促进局,0,0.0,,,114.1870980301,22.3381661027,0,0.0,香港生产力促进局,,香港
476,476,香港生产力促进局,0,0.0,,,114.1870980301,22.3381661027,0,0.0,香港生产力促进局,,香港
477,477,香港生产力促进局,0,0.0,,,114.1870980301,22.3381661027,0,0.0,香港生产力促进局,,香港
478,478,香港生产力促进局,0,0.0,,,114.1870980301,22.3381661027,0,0.0,香港生产力促进局,,香港
479,479,香港生产力促进局,0,0.0,,,114.1870980301,22.3381661027,0,0.0,香港生产力促进局,,香港
480,480,香港生产力促进局,0,0.0,,,114.1870980301,22.3381661027,0,0.0,香港生产力促进局,,香港
481,481,香港生产力促进局,0,0.0,,,114.1870980301,22.3381661027,0,0.0,香港生产力促进局,,香港
482,482,香港生产力促进局,0,0.0,,,114.1870980301,22.3381661027,0,0.0,香港生产力促进局,,香港
483,483,香港生产力促进局,0,0.0,,,114.1870980301,22.3381661027,0,0.0,香港生产力促进局,,香港
484,484,香港生产力促进局,0,0.0,,,114.1870980301,22.3381661027,0,0.0,香港生产力促进局,,香港
485,485,香港生产力促进局,0,0.0,,,114.1870980301,22.3381661027,0,0.0,香港生产力促进局,,香港
486,486,香港生产力促进局,0,0.0,,,114.1870980301,22.3381661027,0,0.0,香港生产力促进局,,香港
487,487,香港生产力促进局,0,0.0,,,114.1870980301,22.3381661027,0,0.0,香港生产力促进局,,香港
488,488,港島東中心One Island East,0,0.0,,,114.2248540528,22.2895743062,0,0.0,港島東中心,OneIslandEast,香港
489,489,白田邨,0,0.0,,,114.1789166423,22.3380949273,0,0.0,白田邨,,香港
490,490,置富商业大厦Cheerful Commercial Building,0,0.0,,,114.1988912055,22.3134537023,0,0.0,置富商业大厦,CheerfulCommercialBuilding,香港
491,491,东贸广场,0,0.0,,,114.2476273322,22.2691092734,0,0.0,东贸广场,,香港
492,492,品联楼,0,0.0,,,114.1381868383,22.5082280173,0,0.0,品联楼,,香港
493,493,港运大厦Island Place Tower,0,0.0,,,114.214384068,22.2943820616,0,0.0,港运大厦,IslandPlaceTower,香港
494,494,南昌邨,0,0.0,,,114.1692734875,22.3288696032,0,0.0,南昌邨,,香港
495,495,廣福橋,0,0.0,,,114.1763513986,22.4532540832,0,0.0,廣福橋,,香港
496,496,税务大楼Revenue Tower,0,0.0,,,114.1833707154,22.2826598699,0,0.0,税务大楼,RevenueTower,香港
497,497,怡和街天桥(圆形天桥),0,94.0,,,114.1977125151,22.2826314196,0,0.0,怡和街天桥圆形天桥,,香港
498,498,中环添马舰驻军大厦,0,0.0,,,114.1756247809,22.2846577149,0,0.0,中环添马舰驻军大厦,,香港
499,499,东涌侯王桥,0,0.0,,,113.9410140419,22.2825578393,0,0.0,东涌侯王桥,,香港
500,500,屯门文娱广场,0,0.0,,,113.9874390903,22.3941904365,0,0.0,屯门文娱广场,,香港
501,501,钟塔,0,80.0,,,114.187428353,22.3022642151,0,0.0,钟塔,,香港
502,502,天空走廊,0,0.0,,,114.1771174831,22.3067401447,0,0.0,天空走廊,,香港
503,503,机场展望台,0,0.0,,,113.9490856542,22.3190058456,0,0.0,机场展望台,,香港
504,504,鸡公岭Kai Kung Leng,0,80.0,,,114.094986,22.46996,0,0.0,鸡公岭,KaiKungLeng,香港
505,505,三门仔新村Sam Mun Tsai,0,0.0,,,114.2265486112,22.4583702305,0,0.0,三门仔新村,SamMunTsai,香港
506,506,蓝地灌溉水塘,0,80.0,,,114.0016380203,22.4140710655,0,0.0,蓝地灌溉水塘,,香港
507,507,海星灣灘,0,80.0,,,114.2553735131,22.435669119,0,0.0,海星灣灘,,香港
508,508,金华街休憩花园Kam Wah Street Rest Garden,0,80.0,,,114.241599,22.281292,0,0.0,金华街休憩花园,KamWahStreetRestGarden,香港
509,509,望隆街休憩处Mong Lung Street Sitting-out Area,0,80.0,,,114.241048,22.282441,0,0.0,望隆街休憩处,MongLungStreetSittingoutArea,香港
510,510,南安街休憩处Nam On Street Sitting-out Area,0,80.0,,,114.23911,22.281462,0,0.0,南安街休憩处,NamOnStreetSittingoutArea,香港
511,511,观塘码头广场,0,88.0,,,114.2328590369,22.3124383047,0,0.0,观塘码头广场,,香港
512,512,长沙湾径休憩处Cheung Sha Wan Path Sitting-out Area,0,80.0,,,114.162805426,22.3409298372,0,0.0,长沙湾径休憩处,CheungShaWanPathSittingoutArea,香港
513,513,积富街休憩花园Chik Fu Street Rest Garden,0,80.0,,,114.190257,22.377486,0,0.0,积富街休憩花园,ChikFuStreetRestGarden,香港
514,514,砵兰街/文明里休憩处Portland Street / Man Ming Lane Sitting-Out Area,0,80.0,,,114.1815571145,22.3148852342,0,0.0,砵兰街文明里休憩处,PortlandStreetManMingLaneSittingOutArea,香港
515,515,九龙公园径休憩花园Kowloon Park Drive Rest Garden,0,80.0,,,114.180723,22.301273,0,0.0,九龙公园径休憩花园,KowloonParkDriveRestGarden,香港
516,516,大埔圆岗休憩处Tai Po Contour Sitting-out Area,0,80.0,,,114.1820439831,22.4493358209,0,0.0,大埔圆岗休憩处,TaiPoContourSittingoutArea,香港
517,517,天后庙花园Tin Hau Temple Garden,0,86.0,,,114.204013,22.285218,0,0.0,天后庙花园,TinHauTempleGarden,香港
518,518,渣华道游乐场Java Road Playground,0,86.0,,,114.220868,22.294126,0,0.0,渣华道游乐场,JavaRoadPlayground,香港
519,519,运头角道休憩处Wan Tau Kok Road Sitting-out Area,0,80.0,,,114.180148,22.449437,0,0.0,运头角道休憩处,WanTauKokRoadSittingoutArea,香港
520,520,观塘道休憩花园Kwun Tong Road Rest Garden,0,88.0,,,114.23321018,22.3177246365,0,0.0,观塘道休憩花园,KwunTongRoadRestGarden,香港
521,521,大埔中央广场Tai Po Central Town Square,0,80.0,,,114.1807285338,22.4567468547,0,0.0,大埔中央广场,TaiPoCentralTownSquare,香港
522,522,大埔旧墟游乐场Tai Po Old Market Playground,0,80.0,,,114.1776184211,22.4548535127,0,0.0,大埔旧墟游乐场,TaiPoOldMarketPlayground,香港
523,523,太和街游乐场Tai Wo Street Playground,0,80.0,,,114.1857208838,22.2791296371,0,0.0,太和街游乐场,TaiWoStreetPlayground,香港
524,524,港湾道花园Harbour Road Garden,0,80.0,,,114.1869655435,22.2834300037,0,0.0,港湾道花园,HarbourRoadGarden,香港
525,525,加多近街临时花园Cadogan Street Temporary Garden,0,80.0,,,114.1368919556,22.2861103878,1,0.0,加多近街临时花园,CadoganStreetTemporaryGarden,香港
526,526,正街街市休憩处Centre Street Market Sitting-out Area,0,80.0,,,114.153295,22.289644,1,0.0,正街街市休憩处,CentreStreetMarketSittingoutArea,香港
527,527,山道花园Hill Road Garden,0,80.0,,,114.147094947,22.2882056374,1,0.0,山道花园,HillRoadGarden,香港
528,528,梅芳街休憩处Mui Fong Street Sitting-out Area,0,80.0,,,114.1547140237,22.2905268564,1,0.0,梅芳街休憩处,MuiFongStreetSittingoutArea,香港
529,529,李郑屋花园Li Cheng Uk Garden,0,80.0,,,114.171376,22.341106,1,0.0,李郑屋花园,LiChengUkGarden,香港
530,530,铜锣湾花园Tung Lo Wan Garden,0,86.0,,,114.1971707172,22.2860002564,0,0.0,铜锣湾花园,TungLoWanGarden,香港
531,531,电气道休憩处Electric Road Sitting-out Area,0,80.0,,,114.203176,22.289825,1,0.0,电气道休憩处,ElectricRoadSittingoutArea,香港
532,532,春园街休憩处Spring Garden Lane Sitting-Out Area,0,80.0,,,114.1843110749,22.2781051946,1,0.0,春园街休憩处,SpringGardenLaneSittingOutArea,香港
533,533,康强街休憩花园,0,70.0,,,114.2080168327,22.3376813164,1,0.0,康强街休憩花园,,香港
534,534,加士居道/弥敦道休憩花园(第一期)Gascoigne Road / Nathan Road Rest Garden (Stage 1),0,80.0,,,114.182961,22.312107,1,0.0,加士居道弥敦道休憩花园第一期,GascoigneRoadNathanRoadRestGardenStage,香港
535,535,普庆广场花园Puqing Square Garden,0,74.0,,,114.1831330447,22.3111305305,2,0.0,普庆广场花园,PuqingSquareGarden,香港
536,536,Bohemian GardenBohemian Garden,0,80.0,,,114.185627,22.297011,2,0.0,,BohemianGardenBohemianGarden,香港
537,537,长沙街休憩处,0,80.0,,,114.180998,22.318949,1,0.0,长沙街休憩处,,香港
538,538,洗衣街花园Sai Yee Street Garden,0,84.0,,,114.1833981664,22.3201658281,1,0.0,洗衣街花园,SaiYeeStreetGarden,香港
539,539,伟业街/常怡道休憩处Wai Yip Street / Sheung Yee Road Sitting-out Area,0,90.0,,,114.2234129615,22.3224661689,1,0.0,伟业街常怡道休憩处,WaiYipStreetSheungYeeRoadSittingoutArea,香港
540,540,大业街花园Tai Yip Street Sitting-out Area,0,80.0,,,114.2253969171,22.3209623513,1,0.0,大业街花园,TaiYipStreetSittingoutArea,香港
541,541,空中花园Sky Garden,0,80.0,,,114.195441,22.282703,1,0.0,空中花园,SkyGarden,香港
542,542,福华街休憩花园Fuk Wah Street Rest Garden,0,80.0,,,114.178302,22.33147,1,0.0,福华街休憩花园,FukWahStreetRestGarden,香港
543,543,红磡海滨花园Hung Hom Promenade,0,76.0,,,114.1991846554,22.3032743297,5,0.0,红磡海滨花园,HungHomPromenade,香港
544,544,北角海滨花园Beijiao Seaside Garden,0,84.0,,,114.2128092001,22.2965524908,4,0.0,北角海滨花园,BeijiaoSeasideGarden,香港
545,545,大角咀道/樱桃街小园地Tai Kok Tsui Road/Cherry Street Amenity Plot,0,94.0,,,114.173775,22.321951,4,0.0,大角咀道樱桃街小园地,TaiKokTsuiRoadCherryStreetAmenityPlot,香港
546,546,乐富游乐场,0,80.0,,,114.1951850332,22.342468962,1,0.0,乐富游乐场,,香港
547,547,南昌街休憩处（一）Nam Cheong Street Sitting-Out Area,0,84.0,,,114.1728832192,22.3300286682,3,0.0,南昌街休憩处一,NamCheongStreetSittingOutArea,香港
548,548,露天广场Open Deck,0,80.0,,,114.138284,22.361004,1,0.0,露天广场,OpenDeck,香港
549,549,乌蛟腾抗日英烈纪念碑Wujiaoteng Monument to the Anti-Japanese Martyrs,0,0.0,,,114.2458778682,22.5124823544,0,0.0,乌蛟腾抗日英烈纪念碑,WujiaotengMonumenttotheAntiJapaneseMartyrs,香港
550,550,泰亨祠堂村Taiheng Ancestral Temple Village,0,0.0,,,114.1605209511,22.4721043649,0,0.0,泰亨祠堂村,TaihengAncestralTempleVillage,香港
551,551,濒危物种资源中心Resource Center of Endangered Species,0,0.0,,,114.1718183981,22.3347564959,0,0.0,濒危物种资源中心,ResourceCenterofEndangeredSpecies,香港
552,552,太岁庙Taisui Temple,0,80.0,,,114.1595486137,22.2883262066,0,0.0,太岁庙,TaisuiTemple,香港
553,553,婚纱桥Wedding Dress Bridge,0,80.0,,,114.0458887705,22.4612261047,0,0.0,婚纱桥,WeddingDressBridge,香港
554,554,调景岭街区Tiu Keng Leng Street,0,80.0,,,114.2629723755,22.3075780004,0,0.0,调景岭街区,TiuKengLengStreet,香港
555,555,塱原湿地Long Valley Wetland,0,0.0,,,114.1245136467,22.5124514208,0,0.0,塱原湿地,LongValleyWetland,香港
556,556,印度庙,0,0.0,,,114.1940576888,22.2730734085,0,0.0,印度庙,,香港
557,557,汉花园Han Garden,0,80.0,,,114.1710579692,22.3408603923,1,0.0,汉花园,HanGarden,香港
558,558,牙鹰洲花园Nga Ying Chau Garden,0,0.0,,,114.1177346629,22.3644707434,0,0.0,牙鹰洲花园,NgaYingChauGarden,香港
559,559,"香港道教学院Taoist Temple, Hong Kong",0,0.0,,,114.165603224,22.3424668654,0,0.0,香港道教学院,TaoistTempleHongKong,香港
560,560,渔民新村Fishermen’s New Village,0,100.0,,,114.2814709196,22.3778863186,0,0.0,渔民新村,FishermensNewVillage,香港
561,561,北葵涌公共图书馆North Kwai Chung Public Library,0,0.0,,,114.1505051295,22.3737658946,0,0.0,北葵涌公共图书馆,NorthKwaiChungPublicLibrary,香港
562,562,"珠海横琴Hengqin New Area, Zhuhai",0,0.0,,,114.2552916656,22.4308826904,0,0.0,珠海横琴,HengqinNewAreaZhuhai,香港
563,563,慈云山观音庙Temple Hill Kwun Yam Buddhist Temple,0,0.0,,,114.2106549735,22.3568102937,0,0.0,慈云山观音庙,TempleHillKwunYamBuddhistTemple,香港
564,564,针山Needle Hill,0,80.0,,,114.1732815546,22.3896940633,1,0.0,针山,NeedleHill,香港
565,565,奥林匹克广场Olympic Square,0,80.0,,,114.1726122829,22.2802979198,0,0.0,奥林匹克广场,OlympicSquare,香港
566,566,金花庙Jinhua Temple,0,0.0,,,114.049843406,22.2889937035,0,0.0,金花庙,JinhuaTemple,香港
567,567,沙田交通安全公园Sha Tin Road Safety Park,0,0.0,,,114.2073747607,22.3837177124,0,0.0,沙田交通安全公园,ShaTinRoadSafetyPark,香港
568,568,胡慕德纪念图书馆Hu Mude Memorial Library,0,0.0,,,114.0447633055,22.2082705286,0,0.0,胡慕德纪念图书馆,HuMudeMemorialLibrary,香港
569,569,西九龙总区警察总部Kowloon West Regional Police Headquarters,0,0.0,,,114.1948327814,22.3265284583,0,0.0,西九龙总区警察总部,KowloonWestRegionalPoliceHeadquarters,香港
570,570,儿童探知馆Children's Discovery Gallery,0,0.0,,,114.1962880014,22.3803869386,0,0.0,儿童探知馆,ChildrensDiscoveryGallery,香港
571,571,巴士总站天台花园Roof Garden of Bus Terminal,0,0.0,,,114.1760414089,22.3110293169,0,0.0,巴士总站天台花园,RoofGardenofBusTerminal,香港
572,572,空中花园Hanging Garden,0,80.0,,,114.1382132866,22.360901357,1,0.0,空中花园,HangingGarden,香港
573,573,公主皇室庭园灰姑娘合影地,0,0.0,,,114.0569038409,22.3131847526,0,0.0,公主皇室庭园灰姑娘合影地,,香港
574,574,"香港四面佛九龙城泰国四面佛坛Erawan Altar, Kowloon City, Hong Kong",0,0.0,,,114.202283,22.332283,0,0.0,香港四面佛九龙城泰国四面佛坛,ErawanAltarKowloonCityHongKong,香港
575,575,Facade of the Old Mental HospitalFacade of the Old Mental Hospital,0,86.0,,,114.1553314119,22.28834953,1,0.0,,FacadeoftheOldMentalHospitalFacadeoftheOldMentalHospital,香港
576,576,湖山河畔公园Wu Shan Riverside Park,0,0.0,,,113.9786053673,22.3873263381,0,0.0,湖山河畔公园,WuShanRiversidePark,香港
577,577,衍庆街游乐场Yin Hing Street Recreation Ground,0,80.0,,,114.206821072,22.3386104734,1,0.0,衍庆街游乐场,YinHingStreetRecreationGround,香港
578,578,中华基督教礼贤会堂Chinese Rhenish Church,0,80.0,,,114.2041412599,22.2834580464,0,0.0,中华基督教礼贤会堂,ChineseRhenishChurch,香港
579,579,雷音洞Leiyindong Buddha Hall,0,0.0,,,114.27097671,22.2116876313,0,0.0,雷音洞,LeiyindongBuddhaHall,香港
580,580,圆州角公共图书馆Yuanzhoujiao Public Library,0,0.0,,,114.2160470377,22.3826394559,0,0.0,圆州角公共图书馆,YuanzhoujiaoPublicLibrary,香港
581,581,国际建筑双年展,0,0.0,,,114.1611621911,22.2865005918,0,0.0,国际建筑双年展,,香港
582,582,第一街The First Street,0,80.0,,,114.1535923558,22.2898497937,0,0.0,第一街,TheFirstStreet,香港
583,583,大学展览厅,0,0.0,,,114.1934617743,22.3371496465,0,0.0,大学展览厅,,香港
584,584,北亭Beiting Village,0,80.0,,,114.2014265773,22.2877799518,0,0.0,北亭,BeitingVillage,香港
585,585,大窝村Dawo Village,0,0.0,,,114.1664513375,22.4745271749,0,0.0,大窝村,DawoVillage,香港
586,586,柯士甸山游乐场Mount Austin Playground,0,80.0,,,114.1590876026,22.2759371597,0,0.0,柯士甸山游乐场,MountAustinPlayground,香港
587,587,观音山Guanyin Mountain,0,80.0,,,114.1307137194,22.4301124155,0,0.0,观音山,GuanyinMountain,香港
588,588,菠萝山Pineapple Hill,0,0.0,,,113.9626881914,22.4094372732,0,0.0,菠萝山,PineappleHill,香港
589,589,调景岭公共图书馆,0,94.0,,,114.2662820808,22.3096320911,0,0.0,调景岭公共图书馆,,香港
590,590,塘坑村Tangkeng Village,0,0.0,,,114.1612521091,22.4951241748,0,0.0,塘坑村,TangkengVillage,香港
591,591,观音寺,0,0.0,,,113.8951260579,22.244620559,0,0.0,观音寺,,香港
592,592,马骝山Maliu Mountain,0,0.0,,,114.1633302723,22.3508345344,0,0.0,马骝山,MaliuMountain,香港
593,593,法藏寺Fazang Temple,0,92.0,,,114.2053135668,22.3525495529,0,0.0,法藏寺,FazangTemple,香港
594,594,白腊村Pak Lap Village,0,0.0,,,114.3717608555,22.3571163803,0,0.0,白腊村,PakLapVillage,香港
595,595,柴湾角休息花园Chai Wan Kok Rest Garden,0,0.0,,,114.1205708449,22.375179461,0,0.0,柴湾角休息花园,ChaiWanKokRestGarden,香港
